HIP,Vmag,Plx,e_Plx,B-V,SpType
84914,8.93,16.99,1,0.63,G0          
85593,10.68,0.23,6.93,0.7,            
84916,7.55,10.18,0.69,0.918,K0          
84917,8.88,9.51,0.8,0.45,K0          
84918,6.86,4.68,0.8,1.293,K2IIICN...  
84919,8.04,7.89,1.12,0.522,F8          
84920,6.9,13.13,0.68,0.573,F8          
84921,10.12,4.36,1.45,0.495,F5          
84922,9.67,-0.11,1.53,-0.134,O9III       
84923,8.23,8.5,1.11,0.488,F8          
84924,7.79,25.64,1.09,0.627,G3V         
84925,8.57,3.09,0.64,1.071,G5          
84926,7.91,2.84,1.02,0.98,G8III       
84927,7.77,3.64,0.98,1.157,K2          
84928,8.05,5.64,1.39,1.167,K0          
84929,9.36,8.74,1.54,0.46,F7V         
84930,8.02,6.12,1.01,0.335,A9V         
84931,7.53,6.7,0.87,0.106,A2V         
84932,7.64,4.53,0.73,0.916,G5III       
84933,8.5,5.44,1.16,0.676,F7V         
84934,6.37,6.09,0.76,0.724,G0III       
84935,9.97,-0.18,1.32,1.433,K5          
84936,8.7,17.63,1.64,0.608,G1V         
84937,8.9,8.57,1.02,0.789,K0          
84938,6.35,4.39,0.75,1.608,M2III       
84939,8.14,0.3,0.96,1.73,K5          
84940,9.23,2.17,1.59,1.431,K2          
84941,7.41,5.21,0.68,0.316,A7III       
84942,8.22,1.81,1.15,0.154,B9V         
84943,9.06,1.9,1.39,0.953,K0          
84944,10.51,0.55,1.89,1.16,            
84945,7.45,12.08,0.73,0.408,F0          
84946,8.03,1.26,0.72,1.561,K2          
84947,6.36,5.07,0.76,1.399,K3III       
84948,10.53,1.1,1.61,1.5,M4e-M8:     
84949,5.55,15.53,1.16,0.667,F9Vn...     
84950,5.69,5.52,0.51,1.463,K5III       
84951,8.4,1.35,1.05,-0.006,B9IV        
84952,8.28,6.96,1.06,0.831,G6IV        
84953,8.74,6.85,0.96,0.449,G0          
84954,7.41,3.8,0.91,-0.019,A0          
84955,7.17,1.74,0.91,1.051,K0          
84956,8.9,10.37,1.34,0.581,F6/F7V      
84957,9.84,0.56,1.76,0.685,F8          
84958,7.03,1.61,1.02,1.672,K4III       
84959,7.26,4.45,0.69,1.668,K3III       
84960,10.07,5.11,1.77,0.494,A9/F0V      
84961,8.89,3.14,1.23,0.155,B9          
84962,8.87,7.35,2.44,0.62,G           
84963,10.34,5.33,1.86,1.309,K2          
84964,9.08,2.18,1.72,1.56,K2III:      
84965,7.07,2.01,0.91,0.086,A0          
84966,8.76,-0.34,2.03,0.315,B9IV        
84967,7.97,3.62,1.05,0.026,B9V         
84969,4.76,10.46,0.66,1.194,K1III       
84970,3.27,5.79,0.69,-0.186,B2IV        
84971,8.39,1.98,1.16,1.422,K2          
84972,7.03,6.94,0.84,1.205,K2          
84973,8.62,3.09,0.7,0.133,A2          
84974,8.47,5.2,1.14,0.294,A0          
84975,6.67,12.05,0.9,0.927,G5          
84976,8.29,9.01,1.22,0.548,F5          
84977,8.21,10.61,0.88,0.559,F8          
84978,10.19,6.63,1.81,0.504,G0          
84979,5.39,2.85,0.63,-0.042,B8/B9Vn...  
84980,8.24,5.58,1.29,1.203,K0III       
84982,7.19,2.46,0.96,0.073,B8V         
84983,7.74,4.07,1.05,1.011,G5          
84985,8.87,3.73,1.11,0.126,A0          
84986,10.47,0.54,5.11,0.381,F0          
84987,9.03,10.88,1.39,0.59,G2V         
84988,7,35.85,0.7,0.607,G2V         
84989,8.75,2.23,1.17,0.095,A1Vn        
84990,9.38,2.1,1.68,0.621,A0          
84991,9.6,5.24,0.76,0.319,F2          
84992,9.71,16.59,1.56,0.864,K5          
84993,8.84,4.17,1.39,0.602,G0          
84994,9.26,12.33,1.47,0.597,G3V         
84995,8.28,7.07,1.25,0.362,F0V         
84996,8.11,3.92,1.12,1.551,K0V         
84997,7.59,2.93,1.02,-0.035,Ap...       
84998,8.81,5.58,1.21,0.501,F6/F7V      
84999,8.02,14.81,1.48,0.536,G0V         
85000,7.73,17.2,0.89,0.492,F8          
85001,7.55,1.89,0.65,1.407,K2          
85002,9.1,2.11,1.37,1.133,K0III       
85003,10.06,3.7,1.89,0.515,F5          
85004,9.08,6.14,1.44,0.368,F0V         
85005,8.27,1.41,1.03,1.169,K1III       
85006,7.06,3.72,0.96,1.219,K2          
85007,6.88,33.54,0.84,0.526,F8V         
85008,7.41,2.11,0.97,1.492,B5V+...     
85009,8.41,2.45,0.84,0.078,A0          
85010,6.81,24.98,0.87,0.504,F5/F6V      
85012,9.1,7.06,0.8,0.43,F5          
85011,9.32,1.65,1.52,0.476,F3IV        
85013,7.17,5.21,0.76,1.022,K0III       
85014,9.36,2.69,1.12,0.96,K0          
85015,8.01,3.35,1,0.259,A3II/III    
85016,9.33,1.61,1.35,1.435,M0          
85017,7.84,29.87,1.2,0.783,G8V         
85018,8.2,3.86,1.41,0.12,A1IV/V      
85019,6.42,27.03,0.78,0.541,F8V         
85020,6.33,-1.15,0.78,0.682,B4Ia+...    
85021,7.57,8.81,0.53,0.213,A3          
85023,8,6.25,1.19,1.172,K0III       
85022,7.67,-3.65,2.15,0.134,B9.5IV      
85024,9.64,9.63,1.02,0.713,G0          
85025,8.16,10.77,1.04,0.671,G0          
85026,10.89,37.79,2.55,1.363,K5V         
85027,7.89,3.45,0.73,0.014,A0          
85028,8.02,6.26,1.01,1.395,K5          
85029,8.15,1.39,1.08,1.831,K4III       
85030,8.8,3.92,1.36,1.178,K0III       
85031,8.6,1.9,1.87,0.726,A0          
85032,8.34,2.48,0.85,1.761,M0III       
85033,8.77,-0.14,2.46,1.041,K0/K1III:+. 
85034,9.07,3.28,1.36,0.218,A0IV        
85035,6.68,-0.45,0.89,0.83,F7/F8Ib/II  
85037,9.12,1.89,1.34,1.556,M0          
85038,6.75,15.63,1.01,0.248,A5V         
85039,7.57,15.81,0.81,0.426,F5          
85040,8.77,2.04,1.22,1.491,K3III       
85041,9.55,3.72,1.78,1.258,K0          
85042,6.28,51.39,0.85,0.68,G5IV        
85043,9.81,-0.71,1.92,1.19,G0          
85044,7.93,4.56,1.07,0.075,Ap...       
85045,8.59,9.36,1.78,0.734,G5          
85047,9.63,15.15,1.35,0.804,K2          
85046,9.12,4.02,1.49,0.522,F3V         
85048,5.91,7.75,0.78,1.075,K1III       
85049,5.86,4.15,0.85,1.075,G8Ib/II     
85050,8.48,10.42,1.1,0.536,G0/G1       
85051,7.8,5.48,0.95,0.923,K0          
85052,8.45,5.56,0.78,0.311,A5          
85053,7.82,5.99,1.18,1.293,K0III       
85054,9.09,8.21,3.11,0.637,G3V         
85055,8.18,1.56,1.19,1.572,K2III       
85057,8.93,8.31,1.1,0.393,F2          
85056,8.84,8.51,1.37,0.443,F5V         
85058,9.71,5.47,1.57,0.717,G6/G8V      
85059,11.2,1.92,2.95,1.69,            
85060,7.75,5.7,1.09,1.238,G5          
85061,10.93,6.11,2.4,1.38,            
85062,8.79,2.01,1.22,-0.013,B9.5IV      
85063,8.6,9.46,1.01,0.801,G5          
85064,6.94,15.21,1.12,0.689,G0          
85065,9.32,3.01,1.47,1.307,M5          
85066,9.84,10.77,1.68,0.635,            
85067,7.92,8.25,0.76,0.154,A4V         
85068,5.76,7.98,0.77,0.994,G8/K0III    
85069,8.06,0.73,1.36,0.066,B9/B9.5II/I 
85070,9.84,6.55,1,0.395,A7          
85071,7.28,6.33,0.88,0.15,A2/A3IV     
85072,10.53,7.31,4.97,0.658,G0          
85073,8.28,3.66,1.02,1.036,G8III       
85074,8.87,14.2,0.75,0.594,G5          
85075,8.49,0.73,1.08,0.088,Ap...       
85076,7.06,2.75,0.58,1.486,M4.5III:    
85077,8.48,1.49,1.17,1.169,K0III       
85078,10.16,7.14,2.74,0.674,F5          
85079,5.21,4.52,0.81,-0.097,B2IIIne     
85080,8.03,5.49,1.41,0.431,A2III       
85081,9.42,14.78,1.79,0.82,G8/K0V      
85082,8.35,2.87,1.3,1.241,G8III       
85083,7.19,6.26,0.81,0.155,A2          
85084,5.3,5.44,0.88,1.549,K4/K5III    
85085,8.94,3.52,1.26,0.358,A0          
85086,6.53,10.09,0.55,0.293,A2          
85087,9.75,1.19,1.54,1.478,M0          
85088,9.75,6.43,1.65,0.587,F8/G0V      
85089,9.81,0.78,1.1,1.193,K2          
85090,7.78,8.91,1.04,0.605,G0          
85091,8.82,1.04,0.92,1.421,K2          
85092,10.02,9.26,1.57,0.651,G2/G3V      
85093,8.76,9.43,1.24,0.638,G2IV        
85094,8.35,-0.81,1.12,0.136,B9II/III    
85095,8.89,2.05,1.19,-0.036,B6III       
85096,7.62,6.4,1.13,0.2,A0          
85097,8.75,1.74,1.32,0.189,A0          
85098,8.78,8.46,0.78,0.629,K0          
85099,10.92,3.77,3.28,1.296,M0          
85100,7.76,12.34,1.08,0.389,F0V         
85102,8.49,1.22,1.19,0.844,G8III+...   
85101,8.72,12.12,1.07,0.507,F8IV        
85103,7.22,2.79,0.52,1.438,K0          
85104,9.58,15.88,1.01,0.797,G5          
85105,6.65,12.72,0.89,0.43,F3IV/V      
85106,8.25,11.58,0.78,0.528,F5          
85107,8.16,3.86,0.71,1.147,K2          
85108,7.15,5.02,0.56,1.244,K0          
85109,7.4,4.51,1.18,1.2,K4III       
85110,9.51,3.11,1.41,0.411,F2          
85111,10.32,2.2,1.8,0.899,G5          
85112,4.15,8.12,0.61,-0.011,B9.5III     
85113,8.19,1.15,0.98,-0.05,B9V         
85114,8.77,8.9,1.38,0.866,K0V         
85115,11.21,9.6,2.72,0.538,K0          
85117,9.57,3.49,1.91,1.645,R3          
85116,6.81,2.06,0.81,-0.089,B4III       
85118,7.92,12.48,1.03,0.563,F8...       
85119,9.22,1.42,1.48,1.352,K0          
85120,11.6,3.39,3.07,1.15,            
85122,8.68,19.58,1.07,0.801,G0          
85123,8.43,4.4,0.82,1.12,K0          
85125,9.22,1.28,0.81,1.671,M2          
85124,8.37,6.09,1.89,0.43,F1V         
85126,11.64,42.5,4.11,1.47,M           
85127,8.18,3.26,1.27,1.096,G8III       
85129,8.03,24.64,0.99,0.687,G5          
85130,8.31,1.78,1.2,0.971,K0III       
85131,8.74,10.06,1.22,0.56,F7V         
85132,7.59,12.56,1.13,0.92,K0IV/V      
85133,8.64,3.36,2.17,0.161,A2          
85134,8.91,3.56,0.8,0.255,A0          
85135,9.53,1.84,2.69,1.05,K0          
85137,8.89,25.66,0.96,0.8,K0          
85136,8.41,7.86,2.96,0.564,F2          
85139,5.77,3.03,0.79,1.251,K1III       
85138,6.64,2.66,0.75,-0.074,B5V         
85140,8.13,1.92,0.71,1.322,K0          
85141,7.84,15.51,1.17,0.621,G0          
85142,8.62,0.86,1.19,1.024,G8III       
85143,7.22,2.76,0.98,1.339,K0          
85144,8.7,2.22,0.68,1.17,K0          
85145,9.38,10.7,1.39,0.692,G5IV        
85146,7.63,6.69,0.96,0.083,A0          
85147,5.69,1.99,0.64,-0.147,B2IV        
85149,6.48,6.04,0.63,0.716,F8IV        
85148,11.19,-0.51,4.59,0.428,CII...      
85150,10.71,4.56,2.23,0.446,F8          
85151,8.06,0.44,2.39,0.233,A2...       
85152,8.94,1.64,1.38,1.349,G8III/IV    
85153,9.02,3.92,2.8,0.301,A2          
85154,6.67,6.19,0.9,1.017,K0III       
85155,8.58,2.47,1.11,1.317,K2          
85156,10.14,3.77,1.82,0.473,F2          
85157,5.7,23.37,0.75,0.229,F0IV        
85158,6.92,30.46,0.91,0.588,G0/G1V      
85159,8.11,2.48,1.35,0.3,B4IV        
85160,7.2,5.41,0.68,0.976,K0          
85161,9.01,0.74,1.25,1.279,K0          
85162,5.1,4.31,0.75,-0.052,B7III       
85163,9,8.01,0.84,0.418,F5          
85164,8.44,3.82,1.2,1.042,K0III       
85165,8.5,12.32,1.1,0.574,G0          
85166,8.44,1.75,0.75,0.977,K2          
85167,10.14,4.19,1.78,0.567,F0          
85168,8.33,2.76,1.07,0.361,A8/A9V      
85169,5.76,4.62,0.74,-0.067,B8Ib/II     
85170,7.84,3.22,0.57,0.988,K0          
85171,7.63,3.88,1.18,0.05,B9III       
85172,9.02,3.4,1.35,1.167,K0          
85173,8.94,3.85,1.18,0.043,B9.5V       
85174,8.09,0.42,1.11,0.258,B9.5IV/V    
85176,8.65,14.95,2.26,0.526,F5/F6V      
85175,8.09,3.87,1.03,0.402,F5          
85177,7.88,5.7,1.15,1.084,G5          
85178,8.94,10.38,1.49,0.63,G1V         
85179,7.62,11.44,0.61,0.414,F2          
85180,7.87,5.41,0.94,0.475,F3V         
85181,6.25,4.77,0.59,0.884,G5III+...   
85182,8.44,3.63,1.46,1.035,G8III       
85183,10.39,3.35,1.93,0.694,G0          
85184,9.4,12.76,1.19,0.725,G5V         
85185,5.75,7.55,0.71,0.074,A3V         
85186,10.62,16.21,1.57,0.874,            
85187,6.34,6.7,0.86,-0.017,B9V         
85188,8.84,2.26,1.44,1.543,K2III       
85189,9.07,0.56,1.38,0.564,B1/B2Ib     
85190,8.61,6.92,0.77,0.473,F5          
85191,8.55,4.39,1.04,1.567,K5          
85192,9.72,3.8,2.3,0.738,F0/F2V      
85193,8.72,7.33,1.2,0.506,F7V         
85194,8.42,9.58,0.84,0.4,G           
85195,6.34,4.69,0.96,0.046,B8V         
85196,7.57,17.45,0.63,0.7,G5          
85197,9.31,0.72,1.63,1.34,M0          
85198,8.4,9.14,1.11,0.44,F2V         
85199,9.57,14.25,1.12,0.708,K2          
85200,8.2,1.09,0.78,1.297,K0          
85202,9.55,0.55,1.35,1.544,K5          
85201,7.35,3.78,0.71,1.274,K5          
85203,8.73,0.35,1.11,1.617,M2          
85204,6.68,5.35,0.63,0.961,K0          
85205,9.72,0.92,1.16,1.056,G5          
85206,10.04,1.78,2.01,0.542,G0          
85207,5.82,10.81,0.94,0.939,K0III       
85208,8.38,5.95,0.93,0.34,A9V         
85209,8.07,19.78,1.07,0.3,G5          
85210,8.17,2.19,1.02,1.76,M3III       
85211,6.66,15.53,0.84,0.388,F3V         
85212,8.28,3.45,0.87,0.02,A0IV/V      
85213,8.71,1.74,0.75,1.028,K0          
85214,8.57,5.16,1.08,0.42,F0/F2IV/V   
85215,9.73,10.08,1.94,0.668,G0          
85216,7.22,4.74,1.91,0.04,A0V         
85217,8.2,3.7,1.33,1.125,K0III       
85218,8.57,1.57,0.85,1.14,K0          
85219,9.2,4.77,1.15,0.414,A3          
85220,8.55,3.89,1.2,1.093,G8III       
85221,8.58,2.24,0.67,1.66,M0          
85222,7.79,12.08,1.03,0.524,F6V         
85223,6.75,2.58,0.87,-0.062,B6V         
85224,8.48,9.4,1.19,0.511,F5V         
85225,8.76,2.06,1.93,0.945,G8III       
85226,8.91,3.7,0.79,0.505,F5          
85227,9.29,12.98,5.86,0.563,F8          
85228,8.62,2.46,0.97,1.433,K5          
85229,8.49,3.49,4.37,0.533,F5          
85230,9.81,8.81,3.19,0.865,G5          
85231,7.81,5.09,1,1.319,K2          
85232,9.47,0.38,1.63,1.363,K7          
85233,11.05,7.36,1.47,0.495,F5          
85234,8.02,-0.51,1.26,1.61,K3III       
85235,6.44,78.14,0.51,0.759,K0V         
85236,8.2,13.45,1.25,0.824,G5          
85237,6.14,6.45,0.81,0.046,Ap...       
85238,9.65,11.46,1.21,0.737,G0          
85239,9.68,8.44,1.57,0.699,G6V         
85240,10.13,4.33,2.31,1.46,            
85241,7.62,15.37,1.11,0.483,F6V         
85242,6.17,7.68,0.86,1.103,K0III       
85243,8.66,3.69,1.09,0.407,F2V         
85244,7.82,24.42,0.67,0.667,G0          
85245,8.89,1.72,1.48,1.646,K3          
85246,9.8,18.23,1.79,0.934,G           
85247,8.77,4.29,1.56,0.381,F2V         
85248,9.61,-0.22,1.33,1.482,K2          
85250,6.79,13.13,1.01,0.962,K0/K1III    
85249,10.62,0.31,2.31,0.504,F5          
85251,7.7,6.13,1.21,1.083,K0          
85252,8.59,3.66,1.32,1.676,M0          
85253,9.74,17.6,1.65,0.825,K0V         
85254,9.35,5.82,1.74,0.528,F3V         
85255,8.39,3.12,1.11,1.594,K2          
85256,11.4,0.39,2.71,0.78,Gp          
85257,9.11,8.1,1.49,0.571,F8V         
85258,2.84,5.41,0.76,1.479,K3Ib-II     
85259,6.68,3.31,0.88,1.511,K5          
85260,8.74,2.3,1.18,1.597,M2/M3III    
85261,7.95,5.47,1,0.369,F0III       
85262,8.89,5.64,1.12,0.752,G5          
85263,7.94,3.26,1.75,1.023,K0III       
85264,8.39,1.62,1.07,1.391,K5          
85265,9.78,3.76,1.65,0.435,G0          
85266,9.48,1.86,1.59,1.276,K2          
85267,3.31,2.87,0.75,-0.15,B1Ib        
85268,6.46,36.8,0.54,0.619,G0          
85269,8.36,3.2,0.89,1.203,K5          
85271,7.74,2.23,0.92,1.652,K5          
85272,9.1,14.06,1.33,0.654,G3V         
85273,7.23,9.42,1.12,0.477,A2          
85274,7.31,3.86,0.89,1.103,K0/K1III    
85275,8.28,8.75,1.12,0.351,F0V         
85277,8.94,2.94,1.39,0.248,A3          
85276,7.67,1.78,0.77,1.585,K2          
85278,6.82,5.25,1.05,0.194,A2/A3IV     
85279,7.54,7.12,1.01,0.157,A2          
85280,8.54,2.17,0.88,1.276,K2          
85281,9.95,3.1,1.71,0.58,F8          
85282,8.59,1.34,1.19,-0.091,A0          
85283,9.04,2.02,2.36,0.837,G8/K0III+.. 
85284,8.85,0.11,1.32,1.268,G8III       
85285,8.37,20.78,1.21,0.642,G3/G5V      
85286,8.47,0.28,1.01,1.556,M0          
85287,7.88,6.58,0.91,0.694,G0          
85288,9.02,1.98,1.41,1.068,K0III       
85289,6.64,7.69,0.79,0.377,F5III       
85290,5.65,9.58,0.49,0.024,A1Vn        
85291,8.18,4.5,1.05,1.48,K0III       
85292,9.15,-1.35,2.49,1.319,K0/K1III+.. 
85293,10.27,6.66,2.01,0.626,G5          
85294,7.47,8.76,0.86,1.04,K2II        
85295,7.54,129.54,0.95,1.359,K7V         
85296,8.67,2.45,1.15,0.296,A2          
85297,11.15,20.59,3,1.184,Kp          
85298,9.31,3.78,1.46,1.303,K5          
85299,9.03,14.24,1.52,0.76,G5V         
85300,7.88,2.15,1.15,1.222,K0III       
85301,9.97,6.77,1.26,0.64,G0          
85302,6.09,5,0.87,1.528,M4III       
85303,8.01,3.72,0.81,0.144,A0          
85304,9.55,3.59,1.52,0.287,A7          
85305,8.78,5.51,1.33,0.528,F5V         
85306,9.29,1.99,3.24,0.732,G5...       
85307,6.44,16.19,0.8,0.457,F3V         
85308,6.89,1.55,0.94,-0.06,B3III       
85309,8.47,2.77,0.67,1.023,G5          
85310,9.27,0.43,1.22,0.08,A0          
85311,6.96,5.7,1.16,0.218,B9          
85312,5.19,8.19,0.88,1.055,K1III       
85313,6.38,4.82,0.74,0.124,A5IV        
85315,8.19,9.28,1.11,0.478,F5V         
85316,8.47,2.83,1.16,0.236,B8V         
85317,6.49,9.15,0.56,0.139,A4V         
85318,7.49,6.43,1.17,0.067,B9/B9.5V    
85319,8.34,1.16,1.05,0.079,Ap...       
85320,7.78,8.71,1.14,0.869,G8IV/V      
85321,8.83,2.54,1.26,1.217,K0          
85322,8.79,0.39,1.34,0.384,B4II        
85323,8.37,1.76,0.83,1.021,K0          
85324,9.12,-0.17,1.48,1.031,G6III       
85325,8.5,4.83,1.97,1.201,G5          
85326,8.85,21.2,1.68,0.81,K1V         
85327,7.55,4.86,1.08,0.287,Am          
85328,8.75,2.6,1.05,0.067,A0V         
85329,9.29,-0.54,1.44,1.46,K0          
85330,7.57,6.02,0.54,0.241,A5          
85331,7.78,2.76,1.15,0.096,O7e         
85332,8.36,4.49,1.06,0.17,A1IVp...    
85333,6.01,3.95,0.75,0.592,A0...       
85334,9.87,1.81,1.07,1.171,K0          
85335,8.26,-1.03,1.12,1.271,K2          
85336,11.15,-0.78,2.32,1.2,            
85337,8.53,3.59,1.38,0.995,K1III       
85338,10.7,13.29,2.12,1.011,            
85339,8.79,3.9,1.2,0.483,F3IV/V      
85340,4.16,38.96,0.87,0.283,A3IV:m      
85341,9.7,1.65,1.55,0.195,A2          
85342,7.04,21.51,0.94,0.482,F6/F7V      
85343,8.02,2.92,0.69,0.984,K0          
85344,8.81,3.28,1.22,1.667,M1          
85345,8.72,1.87,0.69,0.997,G0          
85346,8.53,2.97,0.98,0.097,A0          
85347,9.95,-2.29,2.08,1.031,G5          
85348,8.22,2.77,0.93,1.461,K5          
85349,8.82,6.34,0.73,0.243,F2          
85350,7.63,4.43,0.58,0.935,K0          
85351,9.53,3.71,1.78,1.008,G5          
85352,7.56,2.3,0.88,1.688,K4/K5III    
85354,10.33,17.03,1.91,0.972,            
85353,8.69,8.67,1.2,0.434,F3V         
85355,4.34,2.78,0.92,1.48,K3IIvar     
85356,6.86,3.25,0.82,1.292,K0          
85357,7.88,0.86,1.02,-0.044,B3III       
85358,8.77,1.07,1.92,1.248,K0III       
85359,7.63,3.39,1.14,1.335,K1III       
85360,8.03,22.67,1.48,0.67,G8IV/V+...  
85361,7.69,6,1.2,0.299,A5          
85362,7.87,1.33,1.07,-0.062,B4IV        
85363,6.96,2.45,0.87,1.28,K2III       
85364,8.71,9.27,1.32,0.469,F5V         
85365,4.53,33.28,1.04,0.385,F3V         
85366,10.47,-0.2,2.64,0.38,F0          
85367,8.39,1.41,1.12,1.26,G8III       
85368,7.64,6.76,1.01,0.359,A0          
85369,8.97,9.29,1.28,0.617,G0          
85370,8.26,4.16,1.11,1.226,K1III       
85371,8.13,1.86,1.53,0.617,F5          
85372,7.63,6.07,1.05,-0.031,Ap          
85373,9.67,14.04,1.26,0.84,G8V         
85374,9.71,1.37,0.95,-0.131,B8          
85375,9.82,3.86,1.65,0.54,A9/F0V      
85376,7.24,-0.16,1.1,1.599,K4III       
85377,8.88,1.55,1.22,0.228,B4III       
85378,8.48,14.51,0.93,0.626,G1V         
85379,5.83,8.98,0.5,0.121,A4V         
85380,8.11,3.27,1.01,1.091,K0          
85381,7.14,13.64,0.73,0.483,F5V         
85382,5.94,11.63,0.54,-0.017,A0V         
85383,8.3,2.28,1.25,0.665,A1II/III    
85384,10.4,-0.36,2.09,0.673,F8          
85385,5.52,6.94,0.81,-0.119,B5V         
85386,11.09,-2.51,2.52,0.878,Fp          
85387,7.35,2.81,1.12,0.307,B8/B9III    
85388,9.39,8.89,3.02,0.752,G6V         
85389,5.28,5.44,0.97,-0.058,B8V         
85390,8.88,2.97,1.31,1.391,K0          
85391,6.42,7.71,0.85,-0.055,B9.5/A0V    
85392,8.62,2.94,1.29,0.431,F2III       
85393,6.17,6.59,0.85,-0.039,B8/B9V      
85394,8.29,9.71,0.76,0.466,G0          
85395,9.49,7.99,1.35,0.612,G3V         
85396,10.49,7.84,2.13,0.72,            
85397,6.2,22.08,0.82,0.517,F7V         
85399,9.48,-0.02,1.13,1.281,K2          
85400,8.62,11.41,0.85,0.637,G0          
85398,7.14,1.31,0.96,-0.05,B5IV:       
85401,8.16,1.78,0.68,1.555,K5          
85402,8.02,16.8,1.1,0.594,G0          
85403,8.31,2.8,0.97,1.046,K0III       
85404,8.93,3.08,0.81,1.085,K2          
85405,6.48,6.99,0.87,1.146,K0II/III    
85406,10.15,1.93,1.26,1.276,            
85408,8.38,16.1,1.12,0.634,G0          
85409,5.9,1.95,0.92,0.063,B9II        
85410,9.66,5.31,1.77,0.691,G2V         
85411,9.4,3.33,1.53,0.463,F0V         
85412,9.8,10.04,3.02,0.535,G0          
85413,9,9.04,2.36,0.789,G5          
85414,8.31,19.71,0.68,0.681,G5          
85415,8.82,3.18,1.16,0.037,B9V         
85416,9.66,16.71,1.49,0.796,G5          
85417,9.49,3.62,0.87,0.355,F2          
85418,8.47,8.18,1.14,1.117,K2          
85419,7.39,6.92,1.02,1.075,G9III       
85421,8.33,2.4,1.06,0.378,F0IV        
85420,8.03,5.51,0.97,0.342,A9IV/V      
85422,8.38,10.97,1.24,0.459,F5V         
85423,4.28,29.26,0.86,0.402,F3III       
85424,8.5,0.04,2.85,1.011,K0III       
85425,7.88,32.04,1.24,0.685,G5V         
85426,8.76,13.9,1.27,0.607,F8V         
85427,8.01,4.06,1.16,1.393,K5          
85428,8.89,3.97,1.11,0.202,A0          
85429,12.34,19.97,12.02,1.5,M5e         
85430,8.65,2.17,0.75,0.217,A3          
85431,8.49,2.97,1.22,1.222,K5          
85432,7.87,7.28,0.71,0.336,A3          
85433,8.31,8.75,0.83,0.518,F8          
85434,7.24,12.99,1.1,0.1,F0          
85435,7.07,5.18,0.88,1.681,M2II        
85436,7.69,33.36,0.92,0.82,K1IV        
85437,8.7,19.64,1.14,0.725,G8IV-V      
85438,9.57,2.27,1.71,1.118,F0          
85439,9.86,5.42,1.96,0.495,F5          
85440,8.89,1.73,1.94,0.461,A2IV        
85441,10.02,3.14,1.68,0.589,A9V         
85442,5.98,5.44,0.86,0.01,B9.5IV      
85443,8.94,3.92,1.81,1.128,K2          
85444,8.37,6.45,0.71,0.334,F0          
85445,6.67,4.11,0.83,1.197,K0III       
85446,8.89,2.73,1.52,1.262,G6III/IV    
85447,9.65,14.42,1.79,0.92,K0V         
85448,7.35,2.14,0.95,1.658,K5III       
85449,8.22,2.87,1.05,1.632,K2          
85450,6.42,3.96,0.82,1.66,M4III       
85451,9.72,8.75,1.65,0.657,G0          
85452,8.48,3.58,1.12,1,K0          
85453,8.08,2.1,1.07,0.16,B8/B9III    
85454,8.15,10.84,1.23,0.684,G3V         
85456,9.03,4.02,1.47,1.13,K0          
85457,9.93,6.19,1.55,0.636,F8          
85458,9.09,4.97,1.26,0.318,A5          
85459,8.51,3.3,0.77,0.109,A0          
85460,8.62,10.68,5.47,0.41,A           
85461,8.32,12.13,1.1,0.993,K1III       
85462,8.69,3.26,0.73,0.049,A0          
85463,7.11,10.37,1.64,0.137,A3          
85464,9.07,5.51,1.48,0.449,F8          
85465,8.27,3.49,1.21,0.126,A0          
85466,9.51,5.74,0.89,0.661,G5          
85467,6.57,-0.6,0.81,0.184,B5Vnne      
85468,8.36,11.29,1.21,0.62,G3V         
85469,8.68,4.45,0.85,1.503,K5          
85470,5.72,10.44,0.93,1.169,K2III       
85471,8.82,2.66,1.16,0.218,B9III       
85472,8.53,9.74,1.38,0.753,K0          
85474,6.37,10.97,0.88,0.57,F5IV        
85475,8,3.22,1.21,1.086,K2III       
85476,7.56,1.88,0.82,0.07,B7III       
85477,7.37,2.58,0.86,1.517,K3III       
85478,8.64,6.92,1.38,0.52,F6V         
85479,9.25,1.54,1.13,1.1,K0          
85480,6.22,4.17,0.67,-0.073,B7/B8V      
85481,8.42,3.22,0.8,0.877,G0          
85482,7.73,0.76,1.02,1.3,K0III       
85483,8.51,2.58,0.73,0.126,A2          
85484,7.7,2.82,0.94,-0.075,B6/B7IV     
85485,9,3.32,1.63,1.266,K0III:      
85486,9.78,5.66,1.76,0.647,G5          
85487,9.34,3.67,1.5,0.673,G0          
85488,9.02,4.76,1.41,1.502,K1III:      
85489,10.2,5.51,5.52,0.588,F8          
85490,10.95,0.42,2.43,0.572,K2          
85491,7.93,9.6,1.32,0.481,F5V         
85492,8.13,6.62,0.71,0.438,F2V         
85493,8.06,5.06,0.94,0.102,A1Vs        
85494,10.62,2.21,1.21,0.562,F8          
85495,8.68,8.77,0.62,0.544,G0          
85496,9.18,7.07,2.72,0.51,F8          
85497,8.09,6.29,1.14,0.093,B9V         
85498,8.2,3.6,0.8,-0.066,A0          
85499,7.5,4.23,0.9,1.748,M0III       
85500,9.09,8.91,1.41,0.438,F5          
85501,7.13,4.88,0.84,0.212,A2/A3IV     
85502,8.9,2.79,1.33,1.179,G8III/IV    
85503,9.39,2.09,1.52,1.278,M8          
85504,9.09,6.66,1.26,0.853,G8IV        
85505,10.05,3.65,1.95,0.945,            
