HIP,Vmag,Plx,e_Plx,B-V,SpType
391,8.18,6.95,1.91,0.43,G0          
392,7.93,10.47,1.53,0.478,F5          
393,9.21,3.05,1.34,0.964,K0          
394,6.09,27.18,4.3,0.632,G2V         
395,8.31,3.15,1.1,0.036,A0IV/V      
396,7.83,2.91,0.97,1.256,K2III       
397,8.72,3.73,1.1,0.082,A0          
398,6.61,2.13,0.82,0.025,B3V         
399,6.25,5.34,0.77,1.368,K4IIIb      
400,7.82,39.06,0.93,0.755,G9V         
401,8.66,3.49,1.2,1.614,K5          
402,8.15,6.02,0.81,0.475,F5          
403,8.97,11.56,1.31,0.674,G3V         
405,8.15,1.55,1.04,1.201,K2          
404,7.47,14.53,1.21,0.55,F8V         
406,8.63,1.67,1.1,1.57,M0          
407,8.13,22.09,0.71,0.71,G5V         
408,8.23,4.41,1.1,0.986,G9III       
409,8.41,8.49,0.77,0.461,F5V         
410,6.47,7.63,0.76,0.946,G8II        
411,9.83,-0.99,1.46,1.54,K5          
412,8.64,6.19,1.54,1.3,F5          
413,7.73,19.78,0.87,0.537,G0V         
414,8.64,1.96,0.95,0.889,G6III       
415,8.94,8.38,1.24,0.415,F2          
416,8.84,8.73,1.17,0.759,G5          
417,6.32,6.95,0.81,1.099,G9III:      
418,5.8,4.5,0.56,-0.067,B8MNp...    
419,8.97,5.12,1.34,0.86,G8/K0V      
420,7.53,23.9,0.85,0.577,G0V         
422,7.41,2.53,0.69,1.288,K0          
423,7.8,5.43,1.9,0.437,F0          
425,8.14,14.25,0.83,0.593,G0V         
424,6.71,6.66,0.75,0.068,A1Vn        
427,8.73,1.42,1.2,1.124,K1III       
426,9.37,6.64,8.01,0.51,F0          
429,8.69,11.12,1.22,0.644,G5          
428,9.95,86.98,1.41,1.472,M2          
430,7.1,6.27,0.87,1.128,K1III       
431,8.09,2.45,0.9,0.496,F5          
432,6.88,10.35,0.81,0.174,A2          
433,9.48,-0.08,1.69,1.037,K2          
434,9.04,1.4,1.32,0.692,F2V         
435,9.3,10.28,1.33,0.538,F3/F5V      
436,8.49,62.48,0.82,1.076,K5V         
437,8.3,3.18,1.04,0.998,G5          
438,7.95,2.21,1.04,0.991,G5          
440,7.08,5.31,0.63,-0.006,B9          
441,6.93,4.29,0.83,0.94,G8III/IV    
442,8.38,4.33,1.15,-0.06,B9V         
443,4.61,25.38,1.05,1.029,K1III       
703,11.01,-2.92,2.5,1.5,            
439,8.56,229.33,1.08,1.462,M2V         
444,8.78,1.29,1.02,1.156,K2III       
445,7.42,9.55,0.76,0.191,A1Vs        
447,8.26,1.69,1.27,1.052,G4V:p       
446,7.71,5.05,0.64,1.093,K0III       
448,6.91,6.75,1.03,1.12,G5          
449,9.16,9.89,1.18,0.782,G8IV        
450,8.99,3.3,1.34,1.199,K7          
451,8.63,4.55,0.99,0.46,G0          
452,9.9,2.61,1.46,0.599,F8          
453,7.59,4.65,0.92,1.045,K0          
454,7.39,4.76,0.99,0.99,K0III       
456,7.78,4.79,0.99,1.123,K0III       
457,7.47,2.01,0.96,1.62,M3III       
458,6.97,3.07,0.93,1.444,K5          
459,8.82,18.57,0.95,0.666,G5V         
460,9.13,22.2,1.14,0.735,G5          
461,7.86,11.04,0.91,0.494,F8          
462,7.13,19.81,0.94,0.446,F5          
463,9.45,-1.03,1.35,0.995,G8III/IV    
464,12.04,0.75,22.3,0.501,A0          
465,8.78,3.94,1.45,1.249,K2          
466,7.23,3.52,0.83,1.174,K0          
467,9.73,6.89,1.46,0.725,G5V         
468,7.36,4.25,0.72,0.993,K0III       
469,7.36,2.3,0.82,1.444,K3/K4III    
470,8.47,0.47,0.94,-0.18,B1.5IV      
471,9.37,2.52,1.1,1.537,K5          
472,6.99,4.25,0.78,1.187,K0III       
473,8.2,85.1,2.74,1.41,K2          
474,8.36,7,1.01,0.247,A0          
475,8.22,21.03,1.06,0.636,G0          
476,5.55,8.75,0.8,0.901,G5III       
477,9.91,5.59,1.7,0.353,A9/F0V      
478,9.67,2.19,1.68,0.524,F3/F5V      
480,8.6,1.87,1.29,1.1,K1III       
479,10.07,1.32,1.52,0.923,G5          
481,10.15,7.28,1.45,0.677,G5          
482,7.75,5.95,1.68,0.414,F2+...      
483,9.21,4.01,0.94,0.097,A0          
484,9.66,-0.26,1.41,0.787,G5V         
485,8.47,2.62,1.01,0.045,A0          
486,9.37,6.18,1.34,0.507,F6V         
487,9.44,11.21,1.34,0.617,G0          
488,9.99,7.92,1.61,0.646,G5/G6V      
489,10.38,13.23,1.74,0.782,            
490,7.51,24.85,0.92,0.595,G0V         
491,8.91,2.92,1.19,1.19,K0          
493,7.45,26.24,0.82,0.596,F8          
492,9.57,6.5,1.46,0.51,G0          
494,8.99,12.99,0.94,0.585,F8V         
495,8.58,25.77,2.07,0.92,K0...       
496,6.9,5.31,0.73,1.564,K5          
497,7.55,7.05,1.15,0.3,A3          
498,7.93,4.26,0.91,0.239,A3          
499,9.71,0.87,1.53,0.915,G8IV/V      
500,9.57,1.54,1.37,1.812,M1/M2       
501,8.55,4.19,1.14,1.357,K3III       
502,6.62,2.9,0.77,1.531,K5III       
503,7.89,3.07,1.01,0.93,G5          
504,7.51,5.66,0.82,1.112,K1III-IV    
505,7.36,0.08,0.65,0.126,O6pe        
506,8.66,1.33,1.08,-0.039,A2          
507,8.51,1.8,0.83,1.576,K3III       
508,6.65,3.28,0.85,0.912,G5          
509,9.67,13.05,1.67,0.633,G3V         
510,7.8,11.07,1,0.501,F5          
511,8.21,5.34,1.01,1.108,G5          
512,7.9,4.39,0.96,-0.03,B9V         
513,8.94,2.09,1.2,1,K0          
514,9.82,5.66,1.65,0.418,F2V         
515,8.69,7.38,1.55,0.509,F8          
516,8.57,-0.16,1.12,1.612,M1III       
517,8.89,5.95,1.14,0.476,F5IV/V      
518,5.98,49.3,1.05,0.687,G5V         
519,7.92,5.38,1.67,0.459,F3IV        
520,7.6,2.35,1.15,1.539,M...        
521,8.22,4.71,1.03,1.22,K2          
522,5.7,39,0.64,0.519,G1IV...     
523,12.17,56.92,2.73,1.55,M4          
524,8.75,7.24,1.32,0.487,F6/F7V      
525,6.93,8.6,0.73,1.086,K0          
526,7.97,4.78,0.82,0.256,F0          
527,8.06,3.09,0.8,1.431,K2          
528,10.13,4.69,1.62,0.593,F8          
529,7.31,6.73,0.9,0.402,F2IV        
530,8.35,8.11,0.91,0.624,G1V         
531,5.57,3.32,0.54,-0.023,B9III       
532,9.85,4.6,1.18,0.526,F6V         
533,9.16,-1.67,1.78,1.045,G8III       
534,9.03,3.63,1.27,1.349,K1/K2III:   
535,10.07,5.95,1.54,0.59,F5          
536,9.76,2.9,1.34,1.39,M6e         
537,9.35,3.91,1.56,0.41,F2V         
538,10.95,13.26,2.41,1.008,K1          
539,8.87,6.15,1.06,0.426,F8          
540,6.68,5.13,0.79,0.986,G9III       
541,9.69,10.02,3.4,0.578,F6V         
542,8.05,4.21,1.09,0.112,A0          
543,10.3,2.04,1.67,0.506,F5          
544,6.07,72.98,0.75,0.752,K0V         
545,8.51,4,1.09,1.107,K0          
546,7.71,5.02,0.87,1.038,G8III       
547,8.56,5.61,1.12,0.548,F7V         
548,8.26,2.44,0.98,1.233,K0          
549,11.55,-0.29,2.47,0.49,            
550,8.62,2.41,1.12,0.148,B9          
551,10.92,5.29,6.06,0.792,            
552,10.51,1.92,2.72,0.759,            
553,9.83,2.3,10.4,0.587,G2/G3V      
554,9.84,9.89,1.59,0.69,G0          
555,9.74,4.82,1.5,0.494,F8          
556,8.21,9.08,1.09,0.574,F8          
557,8.72,6.36,0.97,0.41,F4IVws      
558,8.03,1.65,0.76,1.631,K5p...      
559,9,0.55,1.1,-0.09,F5          
560,6.19,25.59,0.75,0.386,F2IV        
561,11.79,3.17,2.2,0.71,            
562,8.22,3.69,1,0.951,G5          
563,7.93,4.96,0.97,1.107,K0          
564,10.18,0.77,1.61,0.58,F5V         
565,8.98,6.64,1.23,0.567,F8          
566,9.13,1.34,1.33,1.125,K0          
567,6.91,3.69,0.8,1.123,K0III       
568,8.79,1.16,1.17,1.234,K3III       
569,8.23,18.71,1.05,0.58,G0          
571,10.24,3.82,3.43,0.402,F2/F3V      
572,8.83,2,1.14,1.114,G5          
573,7.62,3.73,0.94,0.955,G8III       
574,8.96,4.04,1.13,0.446,F3IV/V      
575,10.41,2.89,1.9,0.51,B8          
576,8.97,3.75,1.18,0.05,A           
577,9.61,15.97,1.47,0.761,G5          
578,8.29,8.4,0.93,0.387,F0          
579,8.3,0.43,1.15,1.552,M...        
580,8.26,4.01,1.06,0.494,F5          
581,7.44,7.12,0.92,0.203,A5          
582,9.52,4.4,1.07,0.19,A0V         
583,8.2,4.41,0.71,0.295,A3          
584,8.68,7.89,2.34,0.529,F5V         
585,8.65,4.33,1.16,0.061,A1V         
586,10.52,6.74,2.27,0.512,G0          
587,8.41,5.14,1.01,0.405,F3V         
588,9.18,5.85,1.26,0.333,F2          
589,8.42,4.84,0.88,0.345,A3          
590,8.86,3.28,1.1,1.552,M5          
591,7.92,4.03,0.9,1.054,K0          
592,10.97,-0.66,2.25,0.33,            
593,8.85,4.19,1.28,0.323,A3          
594,9.31,6.51,1.2,0.226,A9V         
595,10.28,6.34,2,0.503,F3V         
596,7.56,11.92,0.61,0.419,F5IV-V      
597,7.88,4.23,0.74,0.407,F2          
598,7.99,3.54,1,1.441,K0          
599,8.23,17.18,1,0.599,F8/G0V      
600,8.52,2.2,1.24,1.084,K1III       
