,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
368,HD_22064-1,F2_V,9.135,8.81,0.4,0.1287,0.01,0.1915,0.0039,4.184,0.006,3.83,0.003,0.658,0.006,1.3449309876881252,3.83,0.4,3.155,F,0.5831987739686227,6760.829753919819
369,HD_22064-2,none,9.135,8.81,0.4,-0.2396,0.0075,-0.2255,0.0058,4.65,0.01,3.568,0.037,-1.176,0.012,0.5759701812546714,3.568,0.4,7.74,n,0.5524248457040855,3698.281797802663
370,HIP_7666-1,A5,2.372,9.64,0.4,0.1847,0.0085,0.3181,0.0042,3.98,0.02,3.851,0.006,0.99,0.03,1.530030189143468,3.851,0.4,2.325,A,0.5855735186227311,7095.777679633888
371,HIP_7666-2,none,2.372,9.64,0.4,0.0899,0.0106,0.0253,0.0082,4.47,0.02,3.78,0.005,0.13,0.04,1.229985523570472,3.78,0.4,4.475,n,0.5774917998372253,6025.595860743575
372,DS_And-1,F1_III,1.011,10.44,0.39,0.2284,0.0028,0.3395,0.0018,3.987,0.017,3.849,0.009,0.957,0.003,1.6919986025030052,3.849,0.39,2.4075,F,0.585347911094591,7063.175542629623
373,DS_And-2,G2_V,1.011,10.44,0.39,0.0734,0.0011,0.0792,0.0022,4.353,0.004,3.796,0.014,0.225,0.003,1.1841316792087604,3.796,0.39,4.2375,G,0.579326203755255,6251.726927756856
374,HD_71636-1,F2_V,5.013,7.89,0.38,0.1778,0.0006,0.1995,0.0066,4.22,0.01,3.842,0.009,0.721,0.036,1.505913407725444,3.842,0.38,2.9975,F,0.5845573605256749,6950.243175887969
375,HD_71636-2,F5_V,5.013,7.89,0.38,0.1079,0.0007,0.1186,0.0099,4.31,0.02,3.809,0.009,0.428,0.041,1.2820353491189516,3.809,0.38,3.73,F,0.5808109726609463,6441.692655151775
376,OT_And-1,A0_V,20.853,7.89,0.38,0.3528,0.0027,0.5006,0.0018,3.79,0.01,3.903,0.011,1.568,0.046,2.253201335629484,3.903,0.38,0.8799999999999999,A,0.5913985512812487,7998.342550070284
377,OT_And-2,F5_V,20.853,7.89,0.38,0.3318,0.0022,0.4231,0.0025,3.92,0.01,3.911,0.011,1.447,0.047,2.146841589360741,3.911,0.38,1.1824999999999997,F,0.5922878159521306,8147.042840208396
378,V1130_Tau-1,F2_V,0.799,6.56,0.36,0.1159,0.0027,0.1729,0.0029,4.208,0.006,3.822,0.005,0.59,0.02,1.3058701657935172,3.822,0.36,3.325,F,0.5822906827189941,6637.43070401909
379,V1130_Tau-2,F2_V,0.799,6.56,0.36,0.1436,0.0025,0.2509,0.0027,4.08,0.006,3.821,0.005,0.74,0.02,1.3918742488392966,3.821,0.36,2.95,F,0.5821770376884089,6622.165037017622
380,ASAS_J090232-5653.4-1,none,20.822,10.63,0.36,0.1572,0.0048,0.1838,0.002,4.201,0.006,3.847,0.014,0.736,0.062,1.4361506529074772,3.847,0.36,2.96,n,0.5851221863068155,7030.723198838334
381,ASAS_J090232-5653.4-2,none,20.822,10.63,0.36,0.1374,0.0057,0.1436,0.0022,4.244,0.007,3.825,0.015,0.585,0.065,1.3721449765730571,3.825,0.36,3.3375,n,0.5826314394896365,6683.439175686149
382,ZZ_Boo-1,F3_V,4.992,6.78,0.36,0.1923,0.0022,0.3144,0.0012,4.0016,0.0019,3.827,0.006,0.893,0.026,1.5570408259018376,3.827,0.36,2.5675,F,0.5828584622244993,6714.288529259523
383,ZZ_Boo-2,F3_V,4.992,6.78,0.36,0.2038,0.0033,0.3434,0.0012,3.955,0.0023,3.825,0.006,0.943,0.026,1.5988215745080956,3.825,0.36,2.4425,F,0.5826314394896365,6683.439175686149
