,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
0,EPIC_203710387-1,M4.5V,2.809,14.3,1.8,-0.9363,0.0116,-0.3648,0.0055,4.231,0.01,3.483,0.011,-1.842,0.047,0.1157977177518939,3.483,1.8,9.405,M,0.5419534744582363,3040.88502567628
1,EPIC_203710387-2,M5V,2.809,14.3,1.8,-0.9763,0.0111,-0.373,0.0057,4.207,0.01,3.483,0.011,-1.861,0.047,0.1056087737624035,3.483,1.8,9.4525,M,0.5419534744582363,3040.88502567628
2,LP_819-72-1,K5_V,11,10.54,1.76,-0.2291,0.0147,-0.2218,0.0072,4.65,0.02,3.605,0.006,-1.07,0.03,0.5900651969956662,3.605,1.76,7.475,K,0.5569052690554478,4027.170343254591
3,LP_819-72-2,K5_V,11,10.54,1.76,-0.1871,0.0134,-0.2366,0.0075,4.72,0.02,3.626,0.006,-1.01,0.03,0.6499800096830252,3.626,1.76,7.324999999999999,K,0.5594277997594899,4226.686142656029
4,OGLE-BLG-ECL-305487-1,KO_III,176.655,18.2,1.7,0.0253,0.0082,1.2849,0.0063,1.893,0.013,3.628,0.042,2.03,0.17,1.0599856845091675,3.628,1.7,-0.2749999999999994,K,0.5596672783880576,4246.19563946313
5,OGLE-BLG-ECL-305487-2,K2_III,176.655,18.2,1.7,-0.0039,0.0079,1.477,0.0035,1.48,0.005,3.6,0.027,2.31,0.11,0.9910601186478312,3.6,1.7,-0.9750000000000004,K,0.5563025007672873,3981.0717055349733
6,PTFEB_132.707+19.810-1,M3.5_V,6.016,17.89,1.66,-0.4031,0.0022,-0.4401,0.0096,4.915,0.019,3.513,0.012,-1.863,0.032,0.3952755940197275,3.513,1.66,9.4575,M,0.5456781497920256,3258.367010020087
7,PTFEB_132.707+19.810-2,M4.3_V,6.016,17.89,1.66,-0.6782,0.0029,-0.5654,0.0192,4.891,0.039,3.494,0.015,-2.3,0.13,0.2097973508619246,3.494,1.66,10.55,M,0.5433229006469121,3118.8895840939385
8,UScoCTIO_5-1,M4.5_V,34.001,16.19,1.62,-0.4694,0.0026,-0.0588,0.0012,4.0859,0.0021,3.515,0.013,-1.105,0.053,0.3393126101629318,3.515,1.62,7.5625,M,0.5459253293558428,3273.406948788383
9,UScoCTIO_5-2,M4.5_V,34.001,16.19,1.62,-0.4864,0.0027,-0.077,0.0012,4.1053,0.0021,3.513,0.013,-1.146,0.059,0.326287172143085,3.513,1.62,7.664999999999999,M,0.5456781497920256,3258.367010020087
10,CM_Dra-1,M4.5_V,1.268,12.9,1.6,-0.6478,0.0006,-0.6003,0.0003,4.9908,0.0008,3.496,0.01,-2.258,0.038,0.2250090572279306,3.496,1.6,10.445,M,0.5435714239623655,3133.2857243155854
11,CM_Dra-2,M4.5_V,1.268,12.9,1.6,-0.6776,0.0006,-0.6243,0.0004,5.0091,0.0007,3.494,0.014,-2.313,0.056,0.2100873969240991,3.494,1.6,10.5825,M,0.5433229006469121,3118.8895840939385
12,OGLE-BLG-ECL-116218-1,K2_III,80.586,17.59,1.6,-0.0137,0.0054,1.2235,0.0073,1.978,0.015,3.627,0.021,1.91,0.08,0.9689469499787372,3.627,1.6,0.0250000000000003,K,0.5595475555804343,4236.429660495409
13,OGLE-BLG-ECL-116218-2,K3_III,80.586,17.59,1.6,-0.0074,0.0053,1.3436,0.0051,1.744,0.009,3.611,0.015,2.08,0.06,0.9831052152817692,3.611,1.6,-0.4000000000000003,K,0.5576274884268266,4083.1938633269233
14,ASAS_J180057-2333.8-1,K1_II,269.496,10.34,1.6,0.6914,0.0019,1.717,0.0115,1.696,0.023,3.657,0.008,3.013,0.038,4.913602272990918,3.657,1.6,-2.7325,K,0.5631249603380444,4539.416166502032
15,ASAS_J180057-2333.8-2,K4_II,269.496,10.34,1.6,0.688,0.0019,1.8301,0.009,1.466,0.018,3.624,0.008,3.111,0.037,4.875284901033862,3.624,1.6,-2.977500000000001,K,0.5591881890047755,4207.266283844442
16,THOR_42-1,M3.5,0.859,15.17,1.53,-0.3036,0.0044,-0.1811,0.002,4.496,0.003,3.518,0.003,-1.337,0.013,0.497049910576235,3.518,1.53,8.1425,M,0.5462958351214424,3296.097121774576
17,THOR_42-2,none,0.859,15.17,1.53,-0.6882,0.0042,-0.3726,0.002,4.496,0.004,3.478,0.003,-1.879,0.013,0.2050217801201983,3.478,1.53,9.4975,n,0.5413295776666937,3006.076302628232
18,MG1-2056316-1,M2_V,1.722,16.2,1.5,-0.3288,0.0019,-0.3556,0.003,4.82,0.006,3.539,0.022,-1.6,0.09,0.4690293284059376,3.539,1.5,8.8,M,0.548880562637515,3459.3937782612206
19,MG1-2056316-2,M3_V,1.722,16.2,1.5,-0.4179,0.0023,-0.4271,0.0035,4.874,0.007,3.521,0.022,-1.82,0.09,0.3820322268844108,3.521,1.5,9.35,M,0.5466660250701842,3318.944575526103
20,MG1-78457-1,M3_V,1.586,17.7,1.5,-0.2782,0.0016,-0.2967,0.0095,4.753,0.019,3.522,0.013,-1.55,0.05,0.5269871189967232,3.522,1.5,8.675,M,0.5467893516312581,3326.5955329400435
21,MG1-78457-2,M4_V,1.586,17.7,1.5,-0.3089,0.0018,-0.327,0.0111,4.783,0.022,3.515,0.013,-1.64,0.05,0.4910209248830859,3.515,1.5,8.899999999999999,M,0.5459253293558428,3273.406948788383
22,GU_Boo-1,M1_V,0.489,13.7,1.5,-0.2147,0.005,-0.2055,0.0112,4.634,0.023,3.593,0.014,-1.09,0.06,0.6099580958722387,3.593,1.5,7.525,M,0.5554572172046495,3917.4187710778306
23,GU_Boo-2,M1_V,0.489,13.7,1.5,-0.2226,0.0044,-0.2076,0.014,4.63,0.028,3.581,0.015,-1.14,0.08,0.5989630064029511,3.581,1.5,7.649999999999999,M,0.5540043210119029,3810.65823393773
24,2MASS_J12220147-5737565-1,M2e,3.072,12.85,1.5,-0.1335,0.0034,-0.0106,0.0058,4.33,0.011,3.574,0.004,-0.772,0.021,0.7353599954754003,3.574,1.5,6.73,M,0.5531545481696254,3749.730022454834
25,2MASS_J12220147-5737565-2,M2e,3.072,12.85,1.5,-0.1752,0.0029,-0.0259,0.0069,4.31,0.013,3.562,0.004,-0.851,0.022,0.6680362046792466,3.562,1.5,6.9275,M,0.5516939151272248,3647.5394692560767
26,LSPM_J1112+7626-1,M4_V,41.033,14.85,1.49,-0.4038,0.0025,-0.4134,0.0061,4.861,0.012,3.486,0.024,-1.92,0.08,0.3946389982098646,3.486,1.49,9.6,M,0.5423273827739744,3061.963433690679
27,LSPM_J1112+7626-2,none,41.033,14.85,1.49,-0.5615,0.0019,-0.5261,0.007,4.929,0.014,3.47,0.023,-2.21,0.09,0.2744732343478535,3.47,1.49,10.325,n,0.5403294747908738,2951.209226666387
28,YY_Gem-1,M1_Ve,0.814,9.07,1.49,-0.2237,0.0034,-0.2079,0.004,4.63,0.008,3.582,0.011,-1.134,0.009,0.5974478464258168,3.582,1.49,7.635,M,0.5541255815130127,3819.442708400464
29,YY_Gem-2,M1_Ve,0.814,9.07,1.49,-0.2212,0.0034,-0.2193,0.0041,4.655,0.051,3.582,0.011,-1.134,0.009,0.6008969504834859,3.582,1.49,7.635,M,0.5541255815130127,3819.442708400464
30,ASAS_J061016-3321.3-1,K5_III,199.857,9.71,1.48,0.0599,0.0117,1.0913,0.0067,2.315,0.014,3.632,0.019,1.667,0.074,1.1478892797901818,3.632,1.48,0.6324999999999994,K,0.5601458398490475,4285.485203974396
31,ASAS_J061016-3321.3-2,K5_V,199.857,9.71,1.48,0.0615,0.0045,1.5227,0.0051,1.454,0.01,3.583,0.021,2.319,0.092,1.1521260598258072,3.583,1.48,-0.9974999999999996,K,0.5542468081661106,3828.2474331682283
32,CU_Cnc-1,M3.5_Ve,2.771,11.89,1.4,-0.3632,0.0017,-0.3648,0.0052,4.804,0.011,3.5,0.021,-1.778,0.083,0.4333112852118382,3.5,1.4,9.245,M,0.5440680443502757,3162.2776601683795
33,CU_Cnc-2,M3.5_Ve,2.771,11.89,1.4,-0.4001,0.0015,-0.408,0.0104,4.854,0.021,3.495,0.021,-1.884,0.086,0.3980155135426725,3.495,1.4,9.51,M,0.5434471800817002,3126.0793671239558
34,MG1-646680-1,M1_V,1.638,17.3,1.4,-0.3019,0.0017,-0.3401,0.0067,4.816,0.013,3.572,0.006,-1.44,0.03,0.4989993730845961,3.572,1.4,8.399999999999999,M,0.5529114502165088,3732.5015779572063
35,MG1-646680-2,M2_V,1.638,17.3,1.4,-0.3536,0.002,-0.3696,0.0061,4.824,0.013,3.56,0.006,-1.55,0.03,0.4429961991003637,3.56,1.4,8.675,M,0.5514499979728752,3630.780547701014
36,MG1-116309-1,K8_V,0.827,16.1,1.4,-0.2464,0.0015,-0.2581,0.0102,4.708,0.02,3.593,0.011,-1.19,0.04,0.5670221181605433,3.593,1.4,7.774999999999999,K,0.5554572172046495,3917.4187710778306
37,MG1-116309-2,M0_V,0.827,16.1,1.4,-0.2741,0.0016,-0.2741,0.0073,4.712,0.015,3.581,0.011,-1.27,0.05,0.5319857509170658,3.581,1.4,7.975,M,0.5540043210119029,3810.65823393773
38,MG1-506664-1,M1_V,1.548,16.0,1.4,-0.2336,0.0015,-0.2518,0.0039,4.708,0.008,3.572,0.012,-1.26,0.05,0.5839827246189302,3.572,1.4,7.949999999999999,M,0.5529114502165088,3732.5015779572063
39,MG1-506664-2,M2_V,1.548,16.0,1.4,-0.2644,0.0016,-0.2899,0.0068,4.753,0.013,3.558,0.012,-1.4,0.05,0.5440013782467273,3.558,1.4,8.3,M,0.5512059437479062,3614.0986263961313
40,OGLE-LMC-ECL-12875-1,G8_III,152.85,17.32,1.39,0.2627,0.0047,1.1937,0.0036,2.313,0.007,3.685,0.009,2.083,0.036,1.831049141471676,3.685,1.39,-0.4075000000000006,G,0.5664374921950703,4841.7236758409945
41,OGLE-LMC-ECL-12875-2,K2.5_III,152.85,17.32,1.39,0.269,0.0054,1.6109,0.0034,1.486,0.006,3.642,0.011,2.744,0.044,1.8578044550916983,3.642,1.39,-2.0600000000000005,K,0.5613399414589012,4385.306977749856
42,V1236_Tau-1,K7_V,2.588,18.1,1.37,-0.104,0.0066,-0.1035,0.0083,4.54,0.02,3.623,0.02,-0.76,0.1,0.7870457896950986,3.623,1.37,6.699999999999999,K,0.5590683340345368,4197.589839910078
43,V1236_Tau-2,K7_V,2.588,18.1,1.37,-0.1135,0.0051,-0.0878,0.0053,4.5,0.01,3.618,0.025,-0.75,0.09,0.770016444356872,3.618,1.37,6.675,K,0.558468562523795,4149.5404263436285
44,OGLE-LMC-ECL-12933-1,G7_III,125.395,17.38,1.37,0.1807,0.0054,1.2385,0.0055,2.142,0.011,3.69,0.018,2.193,0.073,1.5160027880536715,3.69,1.37,-0.6825000000000001,G,0.5670263661590603,4897.7881936844615
45,OGLE-LMC-ECL-12933-2,K2_III,125.395,17.38,1.37,0.1801,0.0049,1.5612,0.0037,1.496,0.007,3.65,0.015,2.679,0.059,1.5139097989198238,3.65,1.37,-1.8975,K,0.5622928644564748,4466.835921509631
46,OGLE-LMC-ECL-15260-1,G8_III,157.469,16.92,1.36,0.1611,0.0054,1.3659,0.008,1.868,0.016,3.682,0.012,2.415,0.05,1.4491054840012254,3.682,1.36,-1.2374999999999998,G,0.5660837841679959,4808.393484497285
47,OGLE-LMC-ECL-15260-2,K2_III,157.469,16.92,1.36,0.1529,0.0049,1.6253,0.0095,1.34,0.019,3.645,0.008,2.787,0.038,1.422001321518881,3.645,1.36,-2.1674999999999995,K,0.5616975326539935,4415.704473533126
48,HAT-TR-318-007-1,M4_V,3.343,16.13,1.32,-0.3487,0.001,-0.3422,0.0034,4.774,0.0057,3.504,0.015,-1.715,0.06,0.4480226804128664,3.504,1.32,9.0875,M,0.5445640974960431,3191.5378551007616
49,HAT-TR-318-007-2,M5_V,3.343,16.13,1.32,-0.5653,0.0067,-0.5357,0.0036,4.9442,0.0039,3.491,0.015,-2.151,0.062,0.2720821182091787,3.491,1.32,10.177499999999998,M,0.5429498488141788,3097.419299216581
50,OGLE-LMC-ECL-03160-1,G7_III,150.154,17.13,1.31,0.2533,0.0039,1.2312,0.0071,2.229,0.014,3.693,0.009,2.188,0.04,1.7918431880502004,3.693,1.31,-0.6700000000000008,G,0.5673793076509788,4931.738039549359
51,OGLE-LMC-ECL-03160-2,K2_III,150.154,17.13,1.31,0.2558,0.0043,1.5731,0.0028,1.548,0.005,3.648,0.007,2.695,0.028,1.8021876116640496,3.648,1.31,-1.9375,K,0.5620548296563785,4446.312674691088
52,OGLE-LMC-ECL-18836-1,G5_III,182.553,17.43,1.29,0.4561,0.0047,1.2028,0.0068,2.489,0.013,3.712,0.008,2.21,0.038,2.858248603672737,3.712,1.29,-0.7250000000000005,G,0.5696079675468245,5152.286445817567
53,OGLE-LMC-ECL-18836-2,K1_III,182.553,17.43,1.29,0.4447,0.0056,1.4895,0.0046,1.904,0.009,3.663,0.008,2.587,0.032,2.784197248883564,3.663,1.29,-1.6675000000000004,K,0.5638369186645449,4602.565735813559
54,NGTS_0002-29-1,M,1.098,17.64,1.28,-0.4003,0.0036,-0.3939,0.0052,4.826,0.01,3.528,0.005,-1.72,0.02,0.3978322628232958,3.528,1.28,9.1,M,0.5475285764597821,3372.873086588689
55,NGTS_0002-29-2,M,1.098,17.64,1.28,-0.6488,0.0035,-0.5592,0.0087,4.908,0.017,3.509,0.006,-2.12,0.03,0.2244915507569589,3.509,1.28,10.1,M,0.5451833682154061,3228.4941217126348
56,OGLE-BLG-ECL-296596-1,K6_III,155.658,15.48,1.26,0.0386,0.006,1.2567,0.0067,1.963,0.013,3.625,0.014,1.964,0.067,1.0929492590847418,3.625,1.26,-0.1100000000000003,K,0.5593080109070125,4216.965034285822
57,OGLE-BLG-ECL-296596-2,K8_III,155.658,15.48,1.26,0.0512,0.0054,1.4742,0.0048,1.541,0.011,3.599,0.013,2.297,0.06,1.125122992965767,3.599,1.26,-0.9425000000000008,K,0.5561818466529113,3971.915494694405
58,V1174_Ori-1,K4.5_V,2.635,13.95,1.24,0.0039,0.0065,0.1268,0.0049,4.19,0.01,3.65,0.012,-0.193,0.048,1.0090205237643568,3.65,1.24,5.2825,K,0.5622928644564748,4466.835921509631
59,V1174_Ori-2,M1.5_V,2.635,13.95,1.24,-0.1361,0.0048,0.0273,0.0045,4.25,0.01,3.558,0.012,-0.761,0.058,0.730970751868601,3.558,1.24,6.7025,M,0.5512059437479062,3614.0986263961313
60,HD_187669-1,K0_III,88.387,8.88,1.24,0.1772,0.0009,1.0542,0.0107,2.507,0.02,3.667,0.007,1.732,0.031,1.5038343479613578,3.667,1.24,0.4699999999999997,K,0.5643109099606027,4645.152752227492
61,HD_187669-2,K2.5_III,88.387,8.88,1.24,0.1775,0.0012,1.3545,0.0096,1.907,0.019,3.636,0.007,2.207,0.035,1.5048735188025135,3.636,1.24,-0.7175000000000002,K,0.5606238745499299,4325.138310350088
62,KIC_5640750-1,none,987.398,11.88,1.24,0.1804,0.0095,1.148,0.0037,2.323,0.007,3.656,0.007,1.871,0.029,1.5149559320403436,3.656,1.24,0.1224999999999996,n,0.5630061870617938,4528.975799036209
63,KIC_5640750-2,none,987.398,11.88,1.24,0.1113,0.0057,0.2679,0.0054,4.014,0.01,3.767,0.015,0.555,0.06,1.2921115244259302,3.767,1.24,3.4125,n,0.5759956202032677,5847.900841444806
64,KIC_9540226-1,none,175.443,12.08,1.21,0.143,0.0097,1.1281,0.0055,2.326,0.01,3.661,0.007,1.854,0.03,1.3899526312133532,3.661,1.21,0.165,n,0.5635997288815311,4581.418867145335
65,KIC_9540226-2,none,175.443,12.08,1.21,0.0065,0.0068,0.0145,0.0059,4.416,0.01,3.765,0.015,0.042,0.061,1.0150793665726912,3.765,1.21,4.694999999999999,n,0.5757649805367194,5821.032177708716
66,OGLE_SMC126.1_210-1,K2_III,634.999,16.77,1.2,0.2238,0.0096,1.6387,0.0102,1.385,0.029,3.651,0.007,2.836,0.047,1.674171713907115,3.651,1.2,-2.29,K,0.5624118329497274,4477.133041763624
67,OGLE_SMC126.1_210-2,K1_III,634.999,16.77,1.2,0.2225,0.0102,1.5911,0.0109,1.479,0.031,3.654,0.007,2.752,0.049,1.6691678072110576,3.654,1.2,-2.079999999999999,K,0.562768543016519,4508.167045414601
68,OGLE-LMC-ECL-12669-1,K0.5_III,749.632,17.21,1.2,0.2655,0.0068,1.3833,0.0061,1.937,0.012,3.666,0.008,2.384,0.034,1.8428924889705545,3.666,1.2,-1.16,K,0.5641924606261979,4634.46919736288
69,OGLE-LMC-ECL-12669-2,G9_III,749.632,17.21,1.2,0.2927,0.0066,1.3685,0.0056,1.994,0.011,3.673,0.009,2.386,0.038,1.9620045039256464,3.673,1.2,-1.165,G,0.5650209283452937,4709.77326396953
70,OGLE-LMC-ECL-09678-1,G4_III,114.45,17.22,1.2,0.3802,0.0052,1.1389,0.005,2.54,0.01,3.719,0.007,2.107,0.027,2.39993787680988,3.719,1.2,-0.4675000000000002,G,0.5704261783589726,5236.0043658575005
71,OGLE-LMC-ECL-09678-2,G9_III,114.45,17.22,1.2,0.4064,0.0053,1.4857,0.004,1.873,0.008,3.673,0.008,2.616,0.035,2.54917705050912,3.673,1.2,-1.7400000000000002,G,0.5650209283452937,4709.77326396953
72,OGLE-LMC-ECL-05430-1,G9_III,505.183,16.61,1.2,0.4341,0.0027,1.4622,0.0054,1.948,0.011,3.673,0.006,2.572,0.028,2.7170648241126765,3.673,1.2,-1.63,G,0.5650209283452937,4709.77326396953
73,OGLE-LMC-ECL-05430-2,G9_III,505.183,16.61,1.2,0.5281,0.0023,1.5396,0.0035,1.887,0.007,3.678,0.006,2.744,0.025,3.373649808737673,3.678,1.2,-2.0600000000000005,G,0.5656117249020587,4764.309868054156
74,OGLE-LMC-ECL-06575-1,G6_II-III,189.994,15.81,1.2,0.6198,0.0023,1.6428,0.0043,1.773,0.008,3.692,0.007,3.009,0.029,4.166774522219097,3.692,1.2,-2.7225,G,0.5672616923538745,4920.395356814511
75,OGLE-LMC-ECL-06575-2,K0_III,189.994,15.81,1.2,0.6009,0.0028,1.6698,0.004,1.699,0.008,3.667,0.006,2.963,0.024,3.9893303406008576,3.667,1.2,-2.607500000000001,K,0.5643109099606027,4645.152752227492
76,OGLE-LMC-ECL-09660-1,G3_III,167.796,16.27,1.19,0.4744,0.0019,1.374,0.0039,2.165,0.008,3.72,0.005,2.583,0.023,2.9812610081722464,3.72,1.19,-1.6575000000000006,G,0.5705429398818975,5248.074602497728
77,OGLE-LMC-ECL-09660-2,K0_III,167.796,16.27,1.19,0.4767,0.0017,1.6474,0.0025,1.62,0.005,3.671,0.009,2.932,0.036,2.9970914863070446,3.671,1.19,-2.53,K,0.5647843845039867,4688.13382145265
78,NSVS_10653195-1,K6_V,0.561,12.5,1.17,-0.1937,0.0035,-0.163,0.0133,4.57,0.027,3.628,0.01,-0.863,0.05,0.6401769013178955,3.628,1.17,6.9575,K,0.5596672783880576,4246.19563946313
79,NSVS_10653195-2,K7_V,0.561,12.5,1.17,-0.1864,0.0035,-0.1726,0.0129,4.597,0.027,3.613,0.012,-0.939,0.055,0.6510284984348612,3.613,1.17,7.147499999999999,K,0.5578679615680222,4102.041029866068
80,V404_CMa-1,none,0.452,17.45,1.17,-0.1349,0.003,-0.1427,0.006,4.608,0.012,3.623,0.01,-0.867,0.044,0.7329932916517788,3.623,1.17,6.967499999999999,n,0.5590683340345368,4197.589839910078
81,V404_CMa-2,none,0.452,17.45,1.17,-0.1791,0.0033,-0.1675,0.0128,4.614,0.025,3.596,0.012,-1.028,0.054,0.662064040270461,3.596,1.17,7.37,n,0.5558196830611911,3944.573020752785
82,ASAS_J212954-5620.1-1,none,0.702,11.93,1.17,-0.0794,0.0089,-0.0731,0.0062,4.506,0.012,3.677,0.014,-0.482,0.057,0.8329136893713077,3.677,1.17,6.005,n,0.5654936298688624,4753.352259428054
83,ASAS_J212954-5620.1-2,none,0.702,11.93,1.17,-0.153,0.008,-0.1439,0.0103,4.574,0.02,3.625,0.019,-0.84,0.076,0.7030723198838335,3.625,1.17,6.9,n,0.5593080109070125,4216.965034285822
84,OGLE-LMC-ECL-25658-1,G8_III,192.789,17.0,1.17,0.3485,0.0047,1.3304,0.003,2.126,0.006,3.685,0.006,2.354,0.027,2.231002207481956,3.685,1.17,-1.085,G,0.5664374921950703,4841.7236758409945
85,OGLE-LMC-ECL-25658-2,G9_III,192.789,17.0,1.17,0.3483,0.0045,1.4411,0.003,1.904,0.006,3.674,0.007,2.533,0.028,2.229975029531496,3.674,1.17,-1.5324999999999998,G,0.5651391519697895,4720.630412635905
86,OGLE-LMC-ECL-01866-1,G3_III,251.247,16.13,1.17,0.5514,0.0024,1.428,0.0084,2.134,0.017,3.724,0.007,2.708,0.032,3.559590180060829,3.724,1.17,-1.9700000000000009,G,0.571009672309305,5296.634438916581
87,OGLE-LMC-ECL-01866-2,K1.5_III,251.247,16.13,1.17,0.5502,0.0038,1.6731,0.0046,1.642,0.009,3.653,0.006,2.912,0.025,3.549768244672092,3.653,1.17,-2.4799999999999995,K,0.5626496722119166,4497.798548932879
88,ASAS_J082552-1622.8-1,K7_V,1.528,11.45,1.16,-0.1531,0.0028,-0.1586,0.0056,4.6,0.016,3.624,0.021,-0.808,0.082,0.7029104501361859,3.624,1.16,6.82,K,0.5591881890047755,4207.266283844442
89,ASAS_J082552-1622.8-2,M0_V,1.528,11.45,1.16,-0.1629,0.0031,-0.1555,0.0081,4.585,0.016,3.611,0.021,-0.909,0.087,0.6872266615842488,3.611,1.16,7.0725,M,0.5576274884268266,4083.1938633269233
90,OGLE-LMC-ECL-24887-1,G5_III,94.844,17.68,1.16,0.4389,0.0074,1.2156,0.0069,2.446,0.014,3.71,0.007,2.225,0.031,2.7472614999306746,3.71,1.16,-0.7625000000000002,G,0.5693739096150459,5128.613839913648
91,OGLE-LMC-ECL-24887-2,G6_III,94.844,17.68,1.16,0.4736,0.0066,1.2512,0.0073,2.409,0.014,3.705,0.007,2.276,0.032,2.975774377372812,3.705,1.16,-0.8899999999999997,G,0.5687882123153469,5069.907082747044
92,OGLE_SMC130.5_4296-1,G7_III,120.468,16.78,1.1,0.2681,0.0059,1.4055,0.0043,1.895,0.014,3.691,0.007,2.529,0.036,1.8539584639833089,3.691,1.1,-1.5225,G,0.5671440451956572,4909.078761526029
93,OGLE_SMC130.5_4296-2,K1_III,120.468,16.78,1.1,0.2565,0.0065,1.6628,0.0033,1.369,0.013,3.655,0.007,2.898,0.036,1.8050947371315689,3.655,1.1,-2.4450000000000003,K,0.5628873812938793,4518.559443749222
94,OGLE-LMC-ECL-10567-1,G6_III,117.975,16.43,1.09,0.5228,0.0038,1.3909,0.0051,2.179,0.01,3.705,0.009,2.555,0.036,3.332728995761378,3.705,1.09,-1.5875000000000004,G,0.5687882123153469,5069.907082747044
95,OGLE-LMC-ECL-10567-2,G9_III,117.975,16.43,1.09,0.503,0.0035,1.564,0.003,1.813,0.006,3.673,0.007,2.777,0.028,3.1841975217261247,3.673,1.09,-2.142500000000001,G,0.5650209283452937,4709.77326396953
96,OGLE-LMC-SC9-230659-1,G6_III,772.638,16.63,1.09,0.5561,0.0046,1.5163,0.0029,1.962,0.005,3.699,0.006,2.783,0.025,3.598321800388804,3.699,1.09,-2.1575,G,0.568084331315394,5000.345349769783
97,OGLE-LMC-SC9-230659-2,G6_III,772.638,16.63,1.09,0.5352,0.0038,1.3692,0.0058,2.235,0.011,3.702,0.009,2.5,0.036,3.4292567329756007,3.702,1.09,-1.4500000000000002,G,0.5684364144168853,5035.006087879047
98,OGLE-LMC-ECL-13360-1,G1_II-III,262.439,15.82,1.07,0.5966,0.0026,1.4837,0.0054,2.067,0.011,3.74,0.007,2.882,0.031,3.950026415978837,3.74,1.07,-2.405,G,0.5728716022004802,5495.408738576249
99,OGLE-LMC-ECL-13360-2,G4_II-III,262.439,15.82,1.07,0.6085,0.0026,1.5962,0.0039,1.854,0.008,3.706,0.007,2.972,0.028,4.059756632515684,3.706,1.07,-2.63,G,0.5689054149828787,5081.594425605605
100,OGLE-SMC-ECL-0970-1,G8_III,191.551,17.93,1.06,0.1584,0.006,1.2648,0.0071,2.07,0.01,3.686,0.006,2.228,0.028,1.4401243711755705,3.686,1.06,-0.7700000000000005,G,0.566555330883055,4852.88500162121
101,OGLE-SMC-ECL-0970-2,G9_III,191.551,17.93,1.06,0.1523,0.0031,1.3243,0.0041,1.94,0.01,3.679,0.006,2.322,0.027,1.4200381105421538,3.679,1.06,-1.005,G,0.5657297878311269,4775.2927365769065
102,OGLE-LMC-ECL-21873-1,G4_III,144.188,16.79,1.06,0.4748,0.0031,1.3066,0.0047,2.3,0.009,3.721,0.006,2.453,0.026,2.9840081159302194,3.721,1.06,-1.3324999999999996,G,0.5706596700215341,5260.172663907063
103,OGLE-LMC-ECL-21873-2,G6_III,144.188,16.79,1.06,0.4904,0.0034,1.3922,0.0042,2.144,0.008,3.704,0.007,2.554,0.029,3.093143010948962,3.704,1.06,-1.585,G,0.5686709780098967,5058.246620031143
104,KIC_9246715-1,none,171.277,9.58,1.05,0.3398,0.0007,0.9289,0.0061,2.92,0.013,3.689,0.004,1.567,0.022,2.186754354439264,3.689,1.05,0.8824999999999998,n,0.5669086552268034,4886.523593428336
105,KIC_9246715-2,none,171.277,9.58,1.05,0.3344,0.0006,0.9138,0.0048,2.945,0.009,3.691,0.005,1.543,0.022,2.159732680689394,3.691,1.05,0.9425,n,0.5671440451956572,4909.078761526029
106,KIC_4054905-1,none,274.729,13.22,1.04,-0.0203,0.0043,0.9224,0.0014,2.573,0.0026,3.686,0.006,1.542,0.025,0.9543331283085358,3.686,1.04,0.9449999999999998,n,0.566555330883055,4852.88500162121
107,KIC_4054905-2,none,274.729,13.22,1.04,-0.0193,0.0027,0.4901,0.0013,3.4385,0.0019,3.721,0.019,0.819,0.081,0.9565330933749138,3.721,1.04,2.7525,n,0.5706596700215341,5260.172663907063
108,OGLE-SMC-ECL-0727-1,G3_III,316.572,18.11,1.04,0.4281,0.0065,1.1644,0.0059,2.53,0.01,3.724,0.008,2.182,0.034,2.6797852971525056,3.724,1.04,-0.6550000000000002,G,0.571009672309305,5296.634438916581
109,OGLE-SMC-ECL-0727-2,G8_III,316.572,18.11,1.04,0.4099,0.0068,1.3096,0.0064,2.23,0.01,3.684,0.008,2.31,0.034,2.569803995402267,3.684,1.04,-0.9750000000000004,G,0.5663196215248113,4830.5880203977285
110,OGLE-SMC-ECL-1492-1,G6_III,73.715,17.71,1.03,-0.0132,0.0045,1.2014,0.0164,2.02,0.03,3.697,0.009,2.149,0.046,0.9700631337839568,3.697,1.03,-0.5725000000000007,G,0.5678494505731068,4977.37084978936
111,OGLE-SMC-ECL-1492-2,G8_III,73.715,17.71,1.03,-0.0132,0.0045,1.3997,0.0052,1.63,0.01,3.679,0.006,2.468,0.028,0.9700631337839568,3.679,1.03,-1.37,G,0.5657297878311269,4775.2927365769065
112,OGLE-LMC-ECL-09114-1,G4_III,214.366,16.71,1.03,0.519,0.003,1.4205,0.0056,2.116,0.011,3.719,0.005,2.669,0.023,3.303695410368148,3.719,1.03,-1.8725000000000005,G,0.5704261783589726,5236.0043658575005
113,OGLE-LMC-ECL-09114-2,G2_III,214.366,16.71,1.03,0.5058,0.0034,1.2739,0.0086,2.396,0.017,3.734,0.009,2.439,0.04,3.2047931228494013,3.734,1.03,-1.2975000000000003,G,0.5721743136130595,5420.008904016238
