logT,Absolute Mag,B-V,Predicted_SpT
3.788,4.72,0.593,G
3.788,4.72,0.593,G
3.796,4.73,0.558,G
3.813,4.75,0.5,G
3.781,4.79,0.624,G
3.781,4.79,0.624,G
3.786,4.81,0.602,G
3.786,4.81,0.602,G
3.794,4.81,0.566,G
3.776,4.82,0.645,G
3.776,4.82,0.645,G
3.762,4.87,0.707,G
3.762,4.87,0.707,G
3.795,4.88,0.562,G
3.769,4.91,0.678,G
3.769,4.91,0.678,G
3.79,4.94,0.586,G
3.794,4.94,0.565,G
3.787,5.02,0.597,G
3.741,5.04,0.801,G
3.741,5.04,0.801,G
3.753,5.04,0.749,G
3.753,5.04,0.749,G
3.785,5.06,0.605,G
3.776,5.11,0.645,G
3.767,5.13,0.685,G
3.773,5.16,0.657,G
3.739,5.24,0.81,G
3.739,5.24,0.81,G
3.758,5.24,0.724,G
3.768,5.32,0.682,G
3.768,5.41,0.683,G
3.775,5.46,0.648,G
3.764,5.49,0.7,K
3.768,5.5,0.683,K
3.763,5.5,0.701,K
3.77,5.51,0.672,K
3.776,5.52,0.644,K
3.734,5.52,0.83,K
3.734,5.52,0.83,K
3.79,5.55,0.583,K
3.774,5.57,0.655,K
3.758,5.59,0.723,K
3.74,5.6,0.805,K
3.763,5.71,0.701,K
3.735,5.74,0.827,K
3.755,5.8,0.737,K
3.722,5.8,0.883,K
3.755,5.82,0.736,K
