System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
OGLE-LMC-ECL-18836-1,G,182.553,17.43,1.29,0.4561,0.0047,1.2028,0.0068,2.489,0.013,3.712,0.008,2.21,0.038,2.858248604,3.712,1.29,-0.725
OGLE-LMC-ECL-18836-2,K,182.553,17.43,1.29,0.4447,0.0056,1.4895,0.0046,1.904,0.009,3.663,0.008,2.587,0.032,2.784197249,3.663,1.29,-1.6675
OGLE-LMC-ECL-09660-1,G,167.796,16.27,1.19,0.4744,0.0019,1.374,0.0039,2.165,0.008,3.72,0.005,2.583,0.023,2.981261008,3.72,1.19,-1.6575
OGLE-LMC-ECL-09660-2,K,167.796,16.27,1.19,0.4767,0.0017,1.6474,0.0025,1.62,0.005,3.671,0.009,2.932,0.036,2.997091486,3.671,1.19,-2.53
OGLE-LMC-ECL-21873-1,G,144.188,16.79,1.06,0.4748,0.0031,1.3066,0.0047,2.3,0.009,3.721,0.006,2.453,0.026,2.984008116,3.721,1.06,-1.3325
OGLE-LMC-ECL-21873-2,G,144.188,16.79,1.06,0.4904,0.0034,1.3922,0.0042,2.144,0.008,3.704,0.007,2.554,0.029,3.093143011,3.704,1.06,-1.585
alpha_Dra-1,A,51.417,3.68,0.04,0.5032,0.006,0.693,0.0032,3.555,0.006,4.01,0.004,2.38,0.018,3.185664237,4.01,0.04,-1.15
psi_Cen-1,A,38.813,4.05,0.03,0.5034,0.0042,0.5814,0.0008,3.779,0.003,4.019,0.012,2.147,0.05,3.187131627,4.019,0.03,-0.5675
V906_Sco-1,B,2.786,5.96,-0.01,0.5123,0.0092,0.5459,0.0048,3.858,0.013,4.029,0.02,2.162,0.082,3.253119373,4.029,-0.01,-0.605
V906_Sco-2,B,2.786,5.96,-0.01,0.5287,0.0091,0.6552,0.0034,3.656,0.012,4.017,0.021,2.33,0.084,3.378313899,4.017,-0.01,-1.025
OGLE-LMC-ECL-09114-1,G,214.366,16.71,1.03,0.519,0.003,1.4205,0.0056,2.116,0.011,3.719,0.005,2.669,0.023,3.30369541,3.719,1.03,-1.8725
OGLE-LMC-ECL-09114-2,G,214.366,16.71,1.03,0.5058,0.0034,1.2739,0.0086,2.396,0.017,3.734,0.009,2.439,0.04,3.204793123,3.734,1.03,-1.2975
OGLE-LMC-ECL-10567-1,G,117.975,16.43,1.09,0.5228,0.0038,1.3909,0.0051,2.179,0.01,3.705,0.009,2.555,0.036,3.332728996,3.705,1.09,-1.5875
OGLE-LMC-ECL-10567-2,G,117.975,16.43,1.09,0.503,0.0035,1.564,0.003,1.813,0.006,3.673,0.007,2.777,0.028,3.184197522,3.673,1.09,-2.1425
OGLE_SMC113.3_4007-1,G,371.768,15.81,0.88,0.5446,0.0035,1.6609,0.0066,1.66,0.017,3.681,0.009,3,0.033,3.504289683,3.681,0.88,-2.7
OGLE_SMC113.3_4007-2,G,371.768,15.81,0.88,0.5516,0.003,1.6848,0.0063,1.62,0.016,3.682,0.009,3.053,0.03,3.561229809,3.682,0.88,-2.8325
IQ_Per-1,B,1.744,7.73,-0.11,0.5467,0.0083,0.3885,0.0046,4.208,0.019,4.09,0.008,2.09,0.03,3.521275459,4.09,-0.11,-0.425
IQ_Per-2,A,1.744,7.73,-0.11,0.2398,0.0078,0.177,0.0049,4.323,0.013,3.885,0.008,0.85,0.04,1.737000726,3.885,-0.11,2.675
OGLE-LMC-ECL-01866-1,G,251.247,16.13,1.17,0.5514,0.0024,1.428,0.0084,2.134,0.017,3.724,0.007,2.708,0.032,3.55959018,3.724,1.17,-1.97
OGLE-LMC-ECL-01866-2,K,251.247,16.13,1.17,0.5502,0.0038,1.6731,0.0046,1.642,0.009,3.653,0.006,2.912,0.025,3.549768245,3.653,1.17,-2.48
OGLE-LMC-SC9-230659-1,G,772.638,16.63,1.09,0.5561,0.0046,1.5163,0.0029,1.962,0.005,3.699,0.006,2.783,0.025,3.5983218,3.699,1.09,-2.1575
OGLE-LMC-SC9-230659-2,G,772.638,16.63,1.09,0.5352,0.0038,1.3692,0.0058,2.235,0.011,3.702,0.009,2.5,0.036,3.429256733,3.702,1.09,-1.45
OGLE-LMC-CEP-04506-1,F,1550.354,15.5,0.5,0.5575,0.0036,1.4548,0.003,2.087,0.007,3.787,0.011,3.01,0.05,3.609940136,3.787,0.5,-2.725
OGLE-LMC-CEP-04506-2,F,1550.354,15.5,0.5,0.5465,0.0037,1.4216,0.0033,2.142,0.006,3.783,0.011,2.93,0.05,3.519654225,3.783,0.5,-2.525
chi2_Hya-1,B,2.268,5.65,-0.09,0.5579,0.0095,0.6419,0.0039,3.712,0.015,4.066,0.01,2.5,0.04,3.613266545,4.066,-0.09,-1.45
chi2_Hya-2,B,2.268,5.65,-0.09,0.4213,0.0082,0.3355,0.0086,4.188,0.019,4.041,0.01,1.79,0.04,2.638153128,4.041,-0.09,0.325
V413_Ser-1,B,2.26,8,0.58,0.5658,0.0059,0.5065,0.0068,3.9914,0.0028,4.045,0.012,2.149,0.022,3.67959483,4.045,0.58,-0.5725
V413_Ser-2,B,2.26,8,0.58,0.5263,0.0052,0.4669,0.0074,4.031,0.0031,4.015,0.012,1.949,0.034,3.359696137,4.015,0.58,-0.0725
OGLE-LMC-CEP-01812-1,F,551.776,16.69,0.64,0.5752,0.0035,1.2516,0.0032,2.509,0.007,3.787,0.011,2.61,0.04,3.760105237,3.787,0.64,-1.725
