logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
1.7,2.67,12.31,4.04,1.81,0.25,B
1.7,2.67,12.31,4.04,1.81,0.25,B
1.6,2.44,12.34,3.981,1.84,0.32,A
1.6,2.44,12.34,3.981,1.84,0.32,A
1.6,2.44,12.34,3.981,1.84,0.32,A
1.62,2.49,12.35,4.0,1.85,0.29,B
1.62,2.49,12.35,4.0,1.85,0.29,B
1.62,2.49,12.35,4.0,1.85,0.29,B
1.49,2.27,12.51,3.945,2.01,0.38,A
1.49,2.27,12.51,3.945,2.01,0.38,A
1.49,2.27,12.51,3.945,2.01,0.38,A
1.44,2.05,12.59,3.918,2.09,0.44,A
1.44,2.05,12.59,3.918,2.09,0.44,A
1.44,2.05,12.59,3.918,2.09,0.44,A
1.45,2.24,12.69,3.969,2.19,0.34,A
1.45,2.24,12.69,3.969,2.19,0.34,A
1.42,2.19,12.69,3.945,2.19,0.38,A
1.42,2.19,12.69,3.945,2.19,0.38,A
1.42,2.19,12.69,3.945,2.19,0.38,A
1.45,2.24,12.69,3.969,2.19,0.34,A
1.4,2.17,12.73,3.945,2.23,0.38,A
1.38,2.13,12.76,3.927,2.26,0.42,A
1.38,2.13,12.76,3.927,2.26,0.42,A
1.34,1.9,12.8,3.869,2.3,0.56,F
1.34,1.9,12.8,3.869,2.3,0.56,F
1.34,1.9,12.8,3.869,2.3,0.56,F
1.33,2.08,12.9,3.932,2.4,0.41,A
1.33,2.08,12.9,3.932,2.4,0.41,A
1.33,2.08,12.9,3.932,2.4,0.41,A
1.3,2.03,12.93,3.909,2.43,0.46,A
1.3,1.95,12.93,3.909,2.43,0.46,A
1.3,1.91,12.93,3.909,2.43,0.46,A
1.3,2.04,12.93,3.914,2.43,0.45,A
1.3,1.93,12.93,3.914,2.43,0.45,A
1.3,1.92,12.93,3.914,2.43,0.45,A
1.3,2.04,12.93,3.914,2.43,0.45,A
1.3,1.93,12.93,3.914,2.43,0.45,A
1.3,1.92,12.93,3.914,2.43,0.45,A
1.3,2.03,12.93,3.909,2.43,0.46,A
1.3,1.95,12.93,3.909,2.43,0.46,A
1.3,1.91,12.93,3.909,2.43,0.46,A
1.3,2.03,12.93,3.909,2.43,0.46,A
1.3,1.95,12.93,3.909,2.43,0.46,A
1.3,1.91,12.93,3.909,2.43,0.46,A
1.3,2.04,12.93,3.914,2.43,0.45,A
1.3,1.93,12.93,3.914,2.43,0.45,A
1.3,1.92,12.93,3.914,2.43,0.45,A
1.26,1.99,13.0,3.896,2.5,0.49,A
1.26,1.97,13.0,3.896,2.5,0.49,A
1.26,1.86,13.0,3.896,2.5,0.49,A
1.26,1.99,13.0,3.896,2.5,0.49,A
1.26,1.97,13.0,3.896,2.5,0.49,A
1.26,1.86,13.0,3.896,2.5,0.49,A
1.24,1.82,13.04,3.881,2.54,0.53,A
1.24,1.82,13.04,3.881,2.54,0.53,A
1.24,1.82,13.04,3.881,2.54,0.53,A
1.25,1.99,13.06,3.918,2.56,0.44,A
1.25,1.99,13.06,3.918,2.56,0.44,A
1.26,2.0,13.07,3.927,2.57,0.42,A
1.23,1.8,13.07,3.873,2.57,0.55,A
1.23,1.8,13.07,3.873,2.57,0.55,A
1.26,2.0,13.07,3.927,2.57,0.42,A
1.25,1.99,13.09,3.927,2.59,0.42,A
1.25,1.99,13.09,3.927,2.59,0.42,A
1.25,2.02,13.11,3.945,2.61,0.38,A
1.25,2.02,13.11,3.945,2.61,0.38,A
1.22,1.94,13.12,3.9,2.62,0.48,A
1.22,1.84,13.12,3.9,2.62,0.48,A
1.22,1.83,13.12,3.9,2.62,0.48,A
1.22,1.94,13.12,3.9,2.62,0.48,A
1.22,1.84,13.12,3.9,2.62,0.48,A
1.22,1.83,13.12,3.9,2.62,0.48,A
1.22,1.94,13.12,3.9,2.62,0.48,A
1.22,1.84,13.12,3.9,2.62,0.48,A
1.22,1.83,13.12,3.9,2.62,0.48,A
1.2,1.96,13.22,3.936,2.72,0.4,A
1.2,1.96,13.22,3.936,2.72,0.4,A
1.17,1.93,13.3,3.936,2.8,0.4,A
1.17,1.93,13.3,3.936,2.8,0.4,A
1.18,2.0,13.34,3.963,2.84,0.35,A
1.18,2.0,13.34,3.963,2.84,0.35,A
1.18,2.0,13.34,3.963,2.84,0.35,A
1.15,1.92,13.34,3.936,2.84,0.4,A
1.15,1.92,13.34,3.936,2.84,0.4,A
1.13,1.89,13.39,3.932,2.89,0.41,A
1.13,1.89,13.39,3.932,2.89,0.41,A
1.13,1.89,13.39,3.932,2.89,0.41,A
1.09,1.84,13.46,3.918,2.96,0.44,A
1.09,1.84,13.46,3.918,2.96,0.44,A
1.06,1.78,13.49,3.881,2.99,0.53,A
1.05,1.78,13.54,3.896,3.04,0.49,A
1.05,1.78,13.54,3.896,3.04,0.49,A
1.05,1.78,13.54,3.896,3.04,0.49,A
1.04,1.59,13.56,3.825,3.06,0.69,F
1.04,1.59,13.56,3.825,3.06,0.69,F
1.04,1.59,13.56,3.825,3.06,0.69,F
1.11,1.99,13.57,3.981,3.07,0.32,A
1.11,1.99,13.57,3.981,3.07,0.32,A
1.11,1.99,13.57,3.981,3.07,0.32,A
1.04,1.79,13.58,3.914,3.08,0.45,A
1.04,1.79,13.58,3.914,3.08,0.45,A
1.01,1.73,13.63,3.877,3.13,0.54,A
1.01,1.73,13.63,3.877,3.13,0.54,A
1.01,1.73,13.63,3.877,3.13,0.54,A
1.0,1.56,13.66,3.825,3.16,0.69,F
1.0,1.56,13.66,3.825,3.16,0.69,F
1.0,1.56,13.66,3.825,3.16,0.69,F
0.98,1.7,13.7,3.869,3.2,0.56,A
0.98,1.71,13.7,3.885,3.2,0.52,A
0.98,1.71,13.7,3.885,3.2,0.52,A
0.98,1.71,13.7,3.885,3.2,0.52,A
0.99,1.8,13.73,3.932,3.23,0.41,A
0.99,1.8,13.73,3.932,3.23,0.41,A
0.99,1.8,13.73,3.932,3.23,0.41,A
0.96,1.7,13.75,3.892,3.25,0.5,A
0.98,1.78,13.75,3.927,3.25,0.42,A
0.98,1.78,13.75,3.927,3.25,0.42,A
0.96,1.7,13.75,3.892,3.25,0.5,A
0.96,1.7,13.75,3.892,3.25,0.5,A
0.98,1.78,13.75,3.927,3.25,0.42,A
0.95,1.51,13.79,3.806,3.29,0.75,F
0.95,1.51,13.79,3.806,3.29,0.75,F
0.95,1.51,13.79,3.806,3.29,0.75,F
0.94,1.66,13.8,3.854,3.3,0.6,F
0.94,1.57,13.8,3.854,3.3,0.6,F
0.94,1.55,13.8,3.854,3.3,0.6,F
0.94,1.66,13.8,3.854,3.3,0.6,F
0.94,1.57,13.8,3.854,3.3,0.6,F
0.94,1.55,13.8,3.854,3.3,0.6,F
0.94,1.68,13.81,3.892,3.31,0.5,A
0.94,1.68,13.81,3.892,3.31,0.5,A
0.94,1.68,13.81,3.892,3.31,0.5,A
0.9,1.63,13.88,3.854,3.38,0.6,F
0.9,1.63,13.88,3.854,3.38,0.6,F
0.9,1.63,13.88,3.854,3.38,0.6,F
0.91,1.5,13.89,3.831,3.39,0.67,F
0.91,1.5,13.89,3.831,3.39,0.67,F
0.91,1.5,13.89,3.831,3.39,0.67,F
0.91,1.71,13.9,3.914,3.4,0.45,A
0.91,1.71,13.9,3.914,3.4,0.45,A
0.91,1.71,13.9,3.914,3.4,0.45,A
0.88,1.6,13.94,3.837,3.44,0.65,F
0.88,1.57,13.94,3.837,3.44,0.65,F
0.88,1.49,13.94,3.837,3.44,0.65,F
0.88,1.6,13.94,3.837,3.44,0.65,F
0.88,1.57,13.94,3.837,3.44,0.65,F
0.88,1.49,13.94,3.837,3.44,0.65,F
0.88,1.65,13.97,3.896,3.47,0.49,A
0.88,1.65,13.97,3.896,3.47,0.49,A
0.87,1.65,13.99,3.9,3.49,0.48,A
0.87,1.65,13.99,3.9,3.49,0.48,A
0.87,1.65,13.99,3.9,3.49,0.48,A
0.82,1.59,14.09,3.881,3.59,0.53,A
0.82,1.59,14.09,3.881,3.59,0.53,A
0.81,1.56,14.12,3.869,3.62,0.56,A
0.81,1.56,14.12,3.869,3.62,0.56,A
0.81,1.55,14.12,3.85,3.62,0.61,F
0.81,1.56,14.12,3.869,3.62,0.56,A
0.81,1.55,14.12,3.85,3.62,0.61,F
0.76,1.52,14.25,3.862,3.75,0.58,F
0.76,1.52,14.25,3.862,3.75,0.58,F
0.76,1.52,14.25,3.862,3.75,0.58,F
0.76,1.67,14.35,3.945,3.85,0.38,A
0.76,1.67,14.35,3.945,3.85,0.38,A
0.72,1.5,14.35,3.865,3.85,0.57,F
0.72,1.5,14.35,3.865,3.85,0.57,F
0.67,1.28,14.51,3.795,4.01,0.79,F
0.67,1.28,14.51,3.795,4.01,0.79,F
0.65,1.47,14.53,3.869,4.03,0.56,F
0.65,1.47,14.53,3.869,4.03,0.56,F
0.58,1.44,14.71,3.877,4.21,0.54,A
0.58,1.44,14.71,3.877,4.21,0.54,A
0.55,1.37,14.76,3.847,4.26,0.62,F
0.56,1.42,14.76,3.869,4.26,0.56,F
0.55,1.37,14.76,3.847,4.26,0.62,F
0.55,1.37,14.76,3.847,4.26,0.62,F
0.56,1.42,14.76,3.869,4.26,0.56,F
0.53,1.16,14.9,3.766,4.4,0.92,G
0.53,1.16,14.9,3.766,4.4,0.92,G
0.48,1.38,14.95,3.869,4.45,0.56,A
0.48,1.38,14.95,3.869,4.45,0.56,A
3.59,8.1,8.86,4.302,-1.64,-0.001,B
3.52,7.73,8.96,4.29,-1.54,0.006,B
3.42,7.18,9.04,4.263,-1.46,0.022,B
3.49,7.75,9.13,4.305,-1.37,-0.002,B
3.43,7.36,9.14,4.283,-1.36,0.01,B
3.26,6.41,9.23,4.225,-1.27,0.05,B
3.26,6.07,9.23,4.225,-1.27,0.05,B
3.26,6.03,9.23,4.225,-1.27,0.05,B
3.11,5.88,9.52,4.211,-0.98,0.061,B
3.12,6.01,9.62,4.231,-0.88,0.045,B
3.18,6.57,9.76,4.28,-0.74,0.012,B
2.97,5.54,9.92,4.22,-0.58,0.054,B
3.03,6.01,10.01,4.26,-0.49,0.024,B
2.84,5.41,10.37,4.24,-0.13,0.038,B
2.51,4.12,10.44,4.117,-0.06,0.12,B
2.63,4.72,10.65,4.202,0.15,0.068,B
2.66,4.84,10.65,4.212,0.15,0.06,B
2.53,4.29,10.68,4.163,0.18,0.092,B
2.57,4.48,10.7,4.183,0.2,0.08,B
2.49,4.19,10.72,4.155,0.22,0.097,B
2.55,4.48,10.78,4.188,0.28,0.077,B
2.57,4.79,10.96,4.227,0.46,0.048,B
2.25,3.76,11.24,4.143,0.74,0.104,B
2.1,3.28,11.3,4.081,0.8,0.145,B
2.25,3.89,11.38,4.167,0.88,0.09,B
2.13,3.57,11.53,4.14,1.03,0.106,B
1.86,2.82,11.61,4.018,1.11,0.202,B
2.11,3.57,11.62,4.147,1.12,0.102,B
1.97,3.23,11.76,4.112,1.26,0.123,B
1.93,3.16,11.87,4.11,1.37,0.124,B
1.92,3.18,11.93,4.117,1.43,0.12,B
1.71,2.62,11.98,4.016,1.48,0.204,B
1.81,2.93,12.03,4.085,1.53,0.142,B
1.74,2.77,12.11,4.062,1.61,0.16,B
1.72,2.76,12.16,4.065,1.66,0.158,B
1.57,2.45,12.3,4.008,1.8,0.212,B
1.5,2.3,12.32,3.961,1.82,0.282,A
1.58,2.51,12.38,4.031,1.88,0.189,B
2.65,5.18,8.88,3.721,-1.72,0.93,G
2.65,4.5,8.88,3.721,-1.72,0.93,G
2.65,4.21,8.88,3.721,-1.72,0.93,G
2.54,4.7,9.03,3.762,-1.57,0.68,F
2.54,4.2,9.03,3.762,-1.57,0.68,F
2.54,4.16,9.03,3.762,-1.57,0.68,F
2.67,5.41,9.03,3.675,-1.57,1.15,K
2.67,4.67,9.03,3.675,-1.57,1.15,K
2.67,4.16,9.03,3.675,-1.57,1.15,K
2.56,3.93,9.43,4.062,-1.17,-0.08,B
2.4,3.66,9.47,3.969,-1.13,0.03,B
2.47,3.72,9.56,4.04,-1.04,-0.06,B
2.84,5.18,9.58,4.212,-1.02,-0.18,B
2.36,3.54,9.61,3.975,-0.99,0.02,B
2.38,3.55,9.66,4.01,-0.94,-0.03,B
2.39,3.54,9.69,4.02,-0.91,-0.04,B
2.53,4.14,9.79,4.117,-0.81,-0.12,B
2.41,3.62,9.86,4.075,-0.74,-0.09,B
2.4,3.82,9.88,4.075,-0.72,-0.09,B
2.4,3.81,9.88,4.075,-0.72,-0.09,B
2.4,3.6,9.88,4.075,-0.72,-0.09,B
2.44,3.92,9.92,4.1,-0.68,-0.11,B
2.25,3.25,9.96,4.0,-0.64,-0.02,B
2.25,3.26,10.07,4.03,-0.53,-0.05,B
2.06,2.89,10.37,3.981,-0.23,0.01,B
2.02,2.83,10.42,3.963,-0.18,0.04,A
2.06,3.76,10.46,3.694,-0.14,0.98,G
2.06,3.43,10.46,3.694,-0.14,0.98,G
2.06,3.35,10.46,3.694,-0.14,0.98,G
2.27,3.74,10.51,4.133,-0.09,-0.13,B
2.08,3.18,10.53,4.04,-0.07,-0.06,B
1.96,2.74,10.63,3.981,0.03,0.01,B
1.98,2.79,10.64,4.0,0.04,-0.02,B
2.05,3.17,10.7,4.062,0.1,-0.08,B
2.01,3.08,10.74,4.05,0.14,-0.07,B
1.95,2.98,10.85,4.04,0.25,-0.06,B
1.82,2.56,10.96,3.981,0.36,0.01,B
1.82,2.73,10.99,3.988,0.39,0.0,B
1.82,2.69,10.99,3.988,0.39,0.0,B
1.82,2.57,10.99,3.988,0.39,0.0,B
1.79,2.69,11.04,3.981,0.44,0.01,B
1.79,2.67,11.04,3.981,0.44,0.01,B
1.79,2.52,11.04,3.981,0.44,0.01,B
1.78,2.49,11.06,3.975,0.46,0.02,B
1.83,2.78,11.07,4.02,0.47,-0.04,B
1.86,2.85,11.08,4.04,0.48,-0.06,B
1.76,2.64,11.15,3.988,0.55,0.0,B
1.74,2.62,11.17,3.981,0.57,0.01,B
1.74,2.49,11.17,3.981,0.57,0.01,B
1.74,2.46,11.17,3.981,0.57,0.01,A
1.84,2.84,11.18,4.05,0.58,-0.07,B
1.76,2.66,11.18,4.0,0.58,-0.02,B
1.73,2.61,11.21,3.988,0.61,0.0,B
1.66,2.3,11.23,3.932,0.63,0.1,A
1.7,2.56,11.24,3.975,0.64,0.02,B
1.7,2.45,11.24,3.975,0.64,0.02,A
1.7,2.41,11.24,3.975,0.64,0.02,A
1.73,2.63,11.29,4.01,0.69,-0.03,B
1.62,2.25,11.32,3.923,0.72,0.12,A
1.6,2.23,11.36,3.923,0.76,0.12,A
1.68,2.55,11.38,4.0,0.78,-0.02,B
1.58,2.39,11.48,3.956,0.88,0.05,A
1.58,2.28,11.48,3.956,0.88,0.05,A
1.58,2.25,11.48,3.956,0.88,0.05,A
1.56,2.2,11.5,3.941,0.9,0.08,A
1.61,2.46,11.51,3.988,0.91,0.0,B
1.53,2.13,11.55,3.918,0.95,0.13,A
1.54,2.33,11.57,3.95,0.97,0.06,A
1.54,2.22,11.57,3.95,0.97,0.06,A
1.54,2.2,11.57,3.95,0.97,0.06,A
1.5,2.09,11.58,3.9,0.98,0.17,A
1.47,2.27,11.8,3.969,1.2,0.03,A
1.4,2.16,11.86,3.923,1.26,0.12,A
1.4,2.1,11.86,3.923,1.26,0.12,A
1.4,2.02,11.86,3.923,1.26,0.12,A
1.39,2.15,11.92,3.936,1.32,0.09,A
1.36,2.11,11.98,3.927,1.38,0.11,A
1.28,2.05,12.2,3.945,1.6,0.07,A
1.21,1.79,12.29,3.877,1.69,0.23,A
1.19,1.77,12.35,3.877,1.75,0.23,A
1.17,1.73,12.39,3.862,1.79,0.27,F
1.17,1.89,12.4,3.888,1.8,0.2,A
1.17,1.82,12.4,3.888,1.8,0.2,A
1.17,1.77,12.4,3.888,1.8,0.2,A
1.15,1.71,12.43,3.854,1.83,0.29,F
1.15,1.7,12.45,3.837,1.85,0.34,F
1.14,1.71,12.46,3.862,1.86,0.27,F
1.12,1.67,12.52,3.841,1.92,0.33,F
1.16,1.95,12.53,3.95,1.93,0.06,A
1.08,1.81,12.63,3.896,2.03,0.18,A
1.05,1.77,12.69,3.877,2.09,0.23,A
1.05,1.61,12.7,3.844,2.1,0.32,F
1.03,1.76,12.74,3.888,2.14,0.2,A
1.0,1.73,12.81,3.877,2.21,0.23,A
1.0,1.72,12.81,3.865,2.21,0.26,A
1.0,1.63,12.81,3.865,2.21,0.26,A
1.0,1.62,12.81,3.865,2.21,0.26,A
0.98,1.7,12.87,3.877,2.27,0.23,A
0.97,1.74,12.92,3.909,2.32,0.15,A
0.95,1.68,12.94,3.877,2.34,0.23,A
0.94,1.66,12.97,3.862,2.37,0.27,F
0.89,1.67,13.1,3.9,2.5,0.17,A
0.87,1.64,13.14,3.892,2.54,0.19,A
0.81,1.56,13.29,3.865,2.69,0.26,F
0.8,1.58,13.32,3.885,2.72,0.21,A
0.79,1.53,13.34,3.847,2.74,0.31,F
0.78,1.54,13.38,3.869,2.78,0.25,F
0.74,1.49,13.46,3.844,2.86,0.32,F
2.11,3.95,10.54,3.676,-0.16,1.07,G
2.11,3.53,10.54,3.676,-0.16,1.07,G
2.11,3.28,10.54,3.676,-0.16,1.07,G
1.81,2.55,10.9,3.9,0.2,0.17,A
1.81,2.51,10.98,3.941,0.28,0.08,A
1.81,3.15,11.11,3.713,0.41,0.88,G
1.8,3.19,11.17,3.704,0.47,0.93,G
1.69,2.38,11.19,3.877,0.49,0.23,A
1.62,2.25,11.41,3.918,0.71,0.13,A
1.61,2.23,11.45,3.918,0.75,0.13,A
1.56,2.2,11.59,3.936,0.89,0.09,A
1.54,2.16,11.62,3.923,0.92,0.12,A
1.54,2.33,11.65,3.941,0.95,0.08,A
1.54,2.31,11.65,3.941,0.95,0.08,A
1.54,2.18,11.65,3.941,0.95,0.08,A
1.43,2.02,11.86,3.905,1.16,0.16,A
1.45,2.21,11.87,3.932,1.17,0.1,A
1.45,2.13,11.87,3.932,1.17,0.1,A
1.45,2.08,11.87,3.932,1.17,0.1,A
1.44,2.19,11.88,3.923,1.18,0.12,A
1.44,2.18,11.88,3.923,1.18,0.12,A
1.44,2.05,11.88,3.923,1.18,0.12,A
1.43,2.04,11.89,3.918,1.19,0.13,A
1.34,2.09,12.13,3.932,1.43,0.1,A
1.34,2.1,12.15,3.941,1.45,0.08,A
1.32,2.05,12.15,3.905,1.45,0.16,A
1.32,2.03,12.15,3.905,1.45,0.16,A
1.32,1.91,12.15,3.905,1.45,0.16,A
1.3,1.88,12.19,3.896,1.49,0.18,A
1.28,1.85,12.21,3.877,1.51,0.23,A
1.3,2.04,12.24,3.927,1.54,0.11,A
1.32,2.09,12.25,3.956,1.55,0.05,A
1.25,2.0,12.38,3.936,1.68,0.09,A
1.23,1.98,12.4,3.927,1.7,0.11,A
1.21,1.94,12.42,3.905,1.72,0.16,A
1.17,1.9,12.54,3.914,1.84,0.14,A
1.14,1.88,12.6,3.914,1.9,0.14,A
1.14,1.9,12.62,3.927,1.92,0.11,A
1.1,1.86,12.73,3.927,2.03,0.11,A
1.04,1.77,12.84,3.896,2.14,0.18,A
3.7,8.49,6.55,4.267,-2.85,-0.22,B
3.7,7.42,6.55,4.267,-2.85,-0.22,B
3.73,8.56,7.14,4.375,-2.26,-0.27,B
3.73,8.75,7.14,4.375,-2.26,-0.27,B
3.5,7.29,7.24,4.3,-2.16,-0.24,B
3.5,7.18,7.24,4.3,-2.16,-0.24,B
3.42,6.9,7.36,4.283,-2.04,-0.23,B
3.42,6.76,7.36,4.283,-2.04,-0.23,B
3.42,6.3,7.36,4.283,-2.04,-0.23,B
3.42,6.27,7.36,4.283,-2.04,-0.23,B
3.42,6.84,7.46,4.3,-1.94,-0.24,B
3.42,6.88,7.46,4.3,-1.94,-0.24,B
3.53,7.59,7.48,4.35,-1.92,-0.26,B
3.53,7.75,7.48,4.35,-1.92,-0.26,B
3.33,6.47,7.58,4.283,-1.82,-0.23,B
3.33,6.47,7.58,4.283,-1.82,-0.23,B
2.98,5.11,8.25,4.25,-1.15,-0.21,B
2.98,5.26,8.25,4.25,-1.15,-0.21,B
2.9,4.91,8.29,4.225,-1.11,-0.19,B
2.9,4.94,8.29,4.225,-1.11,-0.19,B
2.99,5.27,8.33,4.267,-1.07,-0.22,B
2.99,5.42,8.33,4.267,-1.07,-0.22,B
2.59,4.18,8.51,4.133,-0.89,-0.13,B
2.59,3.95,8.51,4.133,-0.89,-0.13,B
2.59,3.91,8.51,4.133,-0.89,-0.13,B
2.59,3.72,8.51,4.133,-0.89,-0.13,B
2.8,4.68,8.62,4.238,-0.78,-0.2,B
2.8,4.81,8.62,4.238,-0.78,-0.2,B
2.73,4.35,8.66,4.212,-0.74,-0.18,B
2.73,4.51,8.66,4.212,-0.74,-0.18,B
2.59,4.08,8.93,4.2,-0.47,-0.17,B
2.59,4.2,8.93,4.2,-0.47,-0.17,B
2.48,3.7,9.0,4.167,-0.4,-0.15,B
2.48,3.86,9.0,4.167,-0.4,-0.15,B
2.52,4.0,9.11,4.2,-0.29,-0.17,B
2.52,4.08,9.11,4.2,-0.29,-0.17,B
2.49,4.08,9.25,4.212,-0.15,-0.18,B
2.49,4.12,9.25,4.212,-0.15,-0.18,B
2.33,3.54,9.37,4.167,-0.03,-0.15,B
2.33,3.63,9.37,4.167,-0.03,-0.15,B
2.23,3.21,9.43,4.133,0.03,-0.13,B
2.23,3.34,9.43,4.133,0.03,-0.13,B
1.94,2.71,9.79,4.062,0.39,-0.08,B
1.94,2.76,9.79,4.062,0.39,-0.08,B
1.89,2.75,10.08,4.1,0.68,-0.11,B
1.89,2.8,10.08,4.1,0.68,-0.11,B
1.72,2.49,10.09,4.0,0.69,-0.02,B
1.72,2.39,10.09,4.0,0.69,-0.02,B
1.72,2.35,10.09,4.0,0.69,-0.02,B
1.72,2.24,10.09,4.0,0.69,-0.02,B
1.78,2.55,10.25,4.075,0.85,-0.09,B
1.78,2.61,10.25,4.075,0.85,-0.09,B
1.78,2.61,10.3,4.087,0.9,-0.1,B
1.78,2.64,10.3,4.087,0.9,-0.1,B
1.99,-1.0,10.31,4.183,0.91,-0.16,B
1.57,2.21,10.52,4.02,1.12,-0.04,B
1.57,2.28,10.52,4.02,1.12,-0.04,B
1.64,2.45,10.6,4.075,1.2,-0.09,B
1.64,2.47,10.6,4.075,1.2,-0.09,B
1.53,2.28,10.74,4.05,1.34,-0.07,B
1.53,2.3,10.74,4.05,1.34,-0.07,B
1.62,-1.0,10.76,4.1,1.36,-0.11,B
1.43,2.18,10.96,4.04,1.56,-0.06,B
1.43,2.19,10.96,4.04,1.56,-0.06,B
1.39,2.13,11.02,4.03,1.62,-0.05,B
1.39,2.14,11.02,4.03,1.62,-0.05,B
1.33,2.03,11.1,4.01,1.7,-0.03,B
1.33,2.05,11.1,4.01,1.7,-0.03,B
1.35,2.11,11.11,4.03,1.71,-0.05,B
1.35,2.11,11.11,4.03,1.71,-0.05,B
1.32,-1.0,11.19,4.03,1.79,-0.05,B
1.09,-1.0,11.62,3.988,2.22,0.0,B
4.7,16.31,7.95,4.375,-3.86,0.01,B
3.52,7.53,9.03,4.01,-2.78,0.25,B
3.15,7.0,10.09,3.645,-1.72,1.63,K
3.15,6.17,10.09,3.645,-1.72,1.63,K
3.15,5.6,10.09,3.645,-1.72,1.63,K
2.86,5.68,10.27,3.759,-1.54,1.04,G
2.86,4.92,10.27,3.759,-1.54,1.04,G
2.86,4.73,10.27,3.759,-1.54,1.04,G
3.79,-1.0,10.91,3.477,-0.9,2.01,K
2.81,5.89,10.98,3.642,-0.83,1.6,K
2.81,5.14,10.98,3.642,-0.83,1.6,K
2.81,4.39,10.98,3.642,-0.83,1.6,K
2.52,4.11,11.08,3.905,-0.73,0.44,A
2.47,4.25,11.22,3.819,-0.59,0.68,F
2.33,3.61,11.56,3.9,-0.25,0.45,A
2.33,3.59,11.57,3.905,-0.24,0.44,A
2.54,4.94,11.63,3.642,-0.18,1.52,K
2.54,4.49,11.63,3.642,-0.18,1.52,K
2.54,3.69,11.63,3.642,-0.18,1.52,K
2.48,4.96,11.66,3.658,-0.15,1.44,K
2.48,4.29,11.66,3.658,-0.15,1.44,K
2.48,3.68,11.66,3.658,-0.15,1.44,K
2.36,4.39,11.68,3.713,-0.13,1.16,G
2.36,3.93,11.68,3.713,-0.13,1.16,G
2.36,3.74,11.68,3.713,-0.13,1.16,G
2.28,3.63,11.7,3.854,-0.11,0.56,F
2.27,3.42,11.73,3.918,-0.08,0.41,A
3.75,-1.0,11.77,3.428,-0.04,1.99,K
2.37,4.56,11.84,3.678,0.03,1.34,G
2.37,4.0,11.84,3.678,0.03,1.34,G
2.37,3.58,11.84,3.678,0.03,1.34,G
2.56,3.37,11.96,3.602,0.15,1.71,K
2.17,3.69,12.03,3.759,0.22,0.93,F
2.13,3.37,12.04,3.831,0.23,0.64,F
2.13,3.11,12.1,3.932,0.29,0.38,A
2.09,3.45,12.2,3.776,0.39,0.85,F
2.12,3.81,12.31,3.708,0.5,1.19,G
2.12,3.51,12.31,3.708,0.5,1.19,G
2.12,3.47,12.31,3.708,0.5,1.19,G
2.06,3.45,12.32,3.752,0.51,0.96,F
2.06,3.45,12.32,3.752,0.51,0.96,F
2.34,3.08,12.39,3.615,0.58,1.65,K
2.34,3.08,12.39,3.615,0.58,1.65,K
2.34,3.03,12.39,3.615,0.58,1.65,K
1.97,2.96,12.44,3.847,0.63,0.59,F
2.14,4.04,12.46,3.67,0.65,1.38,K
2.14,3.58,12.46,3.67,0.65,1.38,K
2.14,3.26,12.46,3.67,0.65,1.38,K
2.1,3.93,12.57,3.668,0.76,1.39,K
2.1,3.51,12.57,3.668,0.76,1.39,K
2.1,3.22,12.57,3.668,0.76,1.39,K
1.94,2.73,12.59,3.927,0.78,0.39,A
2.15,3.59,12.62,3.642,0.81,1.52,K
2.15,3.51,12.62,3.642,0.81,1.52,K
2.15,3.09,12.62,3.642,0.81,1.52,K
1.96,3.3,12.63,3.735,0.82,1.05,G
2.05,3.17,12.75,4.062,0.94,0.2,B
1.84,2.63,12.77,3.873,0.96,0.52,F
1.96,3.62,12.85,3.68,1.04,1.33,K
1.96,3.27,12.85,3.68,1.04,1.33,K
1.96,3.2,12.85,3.68,1.04,1.33,K
1.9,3.43,12.91,3.694,1.1,1.26,G
1.76,2.78,13.06,3.763,1.25,0.91,F
1.77,2.88,13.08,3.742,1.27,1.01,G
1.75,2.43,13.08,3.945,1.27,0.35,A
1.92,3.28,13.09,3.654,1.28,1.46,K
1.92,3.21,13.09,3.654,1.28,1.46,K
1.92,3.0,13.09,3.654,1.28,1.46,K
1.77,3.04,13.14,3.719,1.33,1.13,G
1.71,2.62,13.15,3.782,1.34,0.82,F
1.73,3.0,13.25,3.715,1.44,1.15,G
1.64,2.31,13.27,3.862,1.46,0.55,F
1.78,3.26,13.29,3.68,1.48,1.33,K
1.77,3.26,13.3,3.682,1.49,1.32,G
1.64,2.49,13.34,3.78,1.53,0.83,F
1.62,2.35,13.34,3.822,1.53,0.67,F
1.68,2.89,13.37,3.715,1.56,1.15,G
1.62,2.47,13.39,3.776,1.58,0.85,F
1.75,3.13,13.41,3.674,1.6,1.36,K
1.76,3.1,13.41,3.668,1.6,1.39,K
1.67,2.91,13.42,3.71,1.61,1.18,G
1.66,2.87,13.44,3.712,1.63,1.17,G
1.59,2.41,13.46,3.778,1.65,0.84,F
1.68,3.06,13.52,3.682,1.71,1.32,G
1.53,2.16,13.53,3.862,1.72,0.55,F
1.54,2.3,13.58,3.784,1.77,0.81,F
1.66,3.02,13.58,3.684,1.77,1.31,G
1.55,2.4,13.58,3.76,1.77,0.92,F
1.61,2.88,13.61,3.698,1.8,1.24,G
