logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
1.14,1.9,12.71,3.932,2.51,0.29,A
1.14,1.91,12.72,3.936,2.52,0.28,A
1.09,1.64,12.77,3.822,2.57,0.58,F
1.11,1.68,12.77,3.789,2.57,0.7,F
1.06,1.78,12.85,3.885,2.65,0.4,A
1.03,1.59,12.92,3.819,2.72,0.59,F
0.99,1.55,13.02,3.825,2.82,0.57,F
0.97,1.69,13.05,3.862,2.85,0.46,F
0.97,1.6,13.05,3.862,2.85,0.46,F
0.97,1.59,13.05,3.862,2.85,0.46,F
0.95,1.5,13.15,3.806,2.95,0.63,F
0.92,1.48,13.24,3.789,3.04,0.7,F
0.9,1.5,13.24,3.834,3.04,0.54,F
0.9,1.62,13.24,3.847,3.04,0.5,F
0.9,1.54,13.24,3.847,3.04,0.5,F
0.9,1.52,13.24,3.847,3.04,0.5,F
0.86,1.43,13.37,3.806,3.17,0.63,F
0.83,1.42,13.43,3.816,3.23,0.6,F
0.83,1.41,13.44,3.813,3.24,0.61,F
0.8,1.54,13.48,3.834,3.28,0.54,F
0.8,1.45,13.48,3.834,3.28,0.54,F
0.8,1.43,13.48,3.834,3.28,0.54,F
0.81,1.38,13.5,3.795,3.3,0.67,F
0.78,1.37,13.56,3.806,3.36,0.63,F
0.72,1.3,13.79,3.755,3.59,0.85,G
0.67,1.39,13.85,3.806,3.65,0.63,F
0.67,1.36,13.85,3.806,3.65,0.63,F
0.67,1.29,13.85,3.806,3.65,0.63,F
0.65,1.37,13.89,3.8,3.69,0.65,F
0.65,1.37,13.89,3.8,3.69,0.65,F
0.65,1.27,13.89,3.8,3.69,0.65,F
0.64,1.39,13.9,3.816,3.7,0.6,F
0.64,1.24,13.94,3.777,3.74,0.75,F
0.59,1.32,14.05,3.795,3.85,0.67,F
0.59,1.3,14.05,3.795,3.85,0.67,F
0.59,1.23,14.05,3.795,3.85,0.67,F
0.64,1.23,14.06,3.732,3.86,0.95,G
0.56,1.18,14.17,3.759,3.97,0.83,G
2.8,5.88,11.13,3.635,0.03,1.88,K
2.8,5.14,11.13,3.635,0.03,1.88,K
2.8,4.33,11.13,3.635,0.03,1.88,K
2.61,4.07,11.37,4.05,0.27,0.47,B
2.4,4.52,11.68,3.707,0.58,1.46,G
2.4,4.01,11.68,3.707,0.58,1.46,G
2.4,3.76,11.68,3.707,0.58,1.46,G
2.68,4.61,11.82,4.167,0.72,0.39,B
2.67,4.85,12.13,4.212,1.03,0.36,B
2.6,4.65,12.22,4.2,1.12,0.37,B
2.19,3.13,12.27,4.01,1.17,0.51,B
2.78,6.2,12.52,4.325,1.42,0.29,B
2.12,3.26,12.59,4.05,1.49,0.47,B
2.21,3.57,12.69,4.117,1.59,0.42,B
1.91,2.68,12.74,3.936,1.64,0.63,A
2.02,3.09,12.79,4.04,1.69,0.48,B
1.94,2.93,12.93,4.02,1.83,0.5,B
1.71,2.39,13.28,3.956,2.18,0.59,A
1.74,2.62,13.29,3.981,2.19,0.55,B
1.74,2.49,13.29,3.981,2.19,0.55,A
1.74,2.46,13.29,3.981,2.19,0.55,A
1.82,2.82,13.34,4.05,2.24,0.47,B
1.77,2.7,13.35,4.02,2.25,0.5,B
1.76,2.69,13.37,4.02,2.27,0.5,B
1.57,2.41,13.76,3.994,2.66,0.53,A
1.5,2.28,13.77,3.941,2.67,0.62,A
1.5,2.2,13.77,3.941,2.67,0.62,A
1.5,2.14,13.77,3.941,2.67,0.62,A
2.41,3.59,10.67,4.05,-0.23,0.14,B
2.28,3.32,10.96,4.04,0.06,0.15,B
2.4,3.89,11.04,4.117,0.14,0.09,B
1.92,2.97,11.97,4.062,1.07,0.13,B
1.82,2.9,12.27,4.075,1.37,0.12,B
1.71,2.75,12.48,4.062,1.58,0.13,B
1.57,2.45,12.62,4.01,1.72,0.18,B
1.42,2.19,12.79,3.945,1.89,0.28,A
1.39,2.19,12.96,3.975,2.06,0.23,A
1.32,2.07,13.0,3.927,2.1,0.32,A
1.24,1.99,13.23,3.936,2.33,0.3,A
1.1,1.83,13.53,3.905,2.63,0.37,A
1.14,1.97,13.55,3.963,2.65,0.25,A
0.82,1.55,14.2,3.847,3.3,0.52,F
0.72,1.5,14.45,3.865,3.55,0.47,F
0.68,1.43,14.55,3.834,3.65,0.56,F
0.65,1.42,14.63,3.841,3.73,0.54,F
0.53,1.31,14.94,3.822,4.04,0.6,F
0.53,1.29,14.95,3.803,4.05,0.66,F
0.5,1.29,15.01,3.813,4.11,0.63,F
0.46,1.28,15.1,3.822,4.2,0.6,F
1.77,2.72,4.83,3.792,0.33,0.497,F
1.71,2.42,4.95,3.86,0.45,0.273,A
1.72,2.38,5.0,3.94,0.5,0.081,A
1.65,2.3,5.18,3.943,0.68,0.076,A
1.72,2.66,5.29,4.029,0.79,-0.049,B
1.55,2.36,5.46,3.957,0.96,0.049,A
1.29,2.04,6.04,3.925,1.54,0.114,A
1.18,1.91,6.27,3.901,1.77,0.167,A
1.2,1.94,6.29,3.928,1.79,0.108,A
