System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
KIC_5359678-2,none,6.231,14.21,0.7,0.0273,0.0053,0.0204,0.007,4.424,0.013,3.777,0.005,0.103,0.025,1.064878356,3.777,0.7,4.5425,n
NP_Per-1,F5_V,2.229,11.24,0.7,0.1208,0.0029,0.1374,0.0041,4.284,0.008,3.808,0.006,0.46,0.025,1.320687295,3.808,0.7,3.65,F
NP_Per-2,K5_e,2.229,11.24,0.7,0.0194,0.0019,0.0896,0.0046,4.2779,0.0089,3.657,0.015,-0.237,0.058,1.045682885,3.657,0.7,5.3925,K
IM_Per-1,A8_V,2.254,11.28,0.7,0.2512,0.0023,0.3818,0.0032,3.9258,0.0067,3.88,0.009,1.235,0.035,1.783199772,3.88,0.7,1.7125,A
IM_Per-2,A8_V,2.254,11.28,0.7,0.249,0.0024,0.374,0.0031,3.9394,0.0068,3.879,0.009,1.217,0.036,1.774189481,3.879,0.7,1.7575,A
CoRoT_105906206-1,none,3.695,11.78,0.7,0.3522,0.0077,0.6274,0.002,3.53,0.01,3.829,0.01,1.53,0.04,2.250090572,3.829,0.7,0.975,n
CoRoT_105906206-2,none,3.695,11.78,0.7,0.1106,0.0101,0.1271,0.0032,4.3,0.02,3.789,0.011,0.36,0.05,1.290030564,3.789,0.7,3.9,n
EF_Aqr-1,G0_V,2.854,9.89,0.72,0.0948,0.0028,0.1265,0.0039,4.28,0.007,3.789,0.006,0.36,0.011,1.243941624,3.789,0.72,3.9,G
EF_Aqr-2,none,2.854,9.89,0.72,-0.0241,0.0028,-0.0195,0.0055,4.453,0.011,3.715,0.009,-0.227,0.02,0.946019307,3.715,0.72,5.3675,n
RT_CrB-1,G5_IV,5.117,10.21,0.73,0.1281,0.0032,0.4175,0.0073,3.731,0.014,3.762,0.008,0.838,0.032,1.34307418,3.762,0.73,2.705,G
RT_CrB-2,K0_IV,5.117,10.21,0.73,0.1332,0.0029,0.4692,0.0075,3.632,0.015,3.71,0.009,0.736,0.036,1.358939117,3.71,0.73,2.96,K
NGC_3201_V139-1,none,8.789,18.08,0.74,-0.0937,0.0038,0.0846,0.0043,4.175,0.006,3.793,0.005,0.294,0.022,0.805934969,3.793,0.74,4.065,n
NGC_3201_V139-2,none,8.789,18.08,0.74,-0.1649,0.0019,-0.163,0.0025,4.599,0.003,3.745,0.006,-0.387,0.021,0.684069142,3.745,0.74,5.7675,n
KIC_2306740-1,none,10.307,13.7,0.74,0.077,0.0029,0.2258,0.001,4.063,0.002,3.764,0.018,0.449,0.075,1.193988104,3.764,0.74,3.6775,n
KIC_2306740-2,none,10.307,13.7,0.74,0.0326,0.0028,0.0885,0.0018,4.294,0.004,3.782,0.017,0.26,0.072,1.077953433,3.782,0.74,4.15,n
HS_Aur-1,G8_V,9.815,10.16,0.77,-0.0458,0.0092,0.0017,0.0104,4.389,0.023,3.728,0.006,-0.13,0.03,0.899911911,3.728,0.77,5.125,G
HS_Aur-2,K0_V,9.815,10.16,0.77,-0.056,0.0084,-0.059,0.0119,4.5,0.025,3.716,0.006,-0.3,0.03,0.879022517,3.716,0.77,5.55,K
OGLE-SMC-ECL-1421-1,G2_III,102.834,17.18,0.77,0.4346,0.0032,1.248,0.0074,2.37,0.01,3.732,0.008,2.38,0.034,2.720194762,3.732,0.77,-1.15,G
OGLE-SMC-ECL-1421-2,G6_III,102.834,17.18,0.77,0.4548,0.003,1.3766,0.0036,2.14,0.01,3.701,0.008,2.512,0.033,2.849705627,3.701,0.77,-1.48,G
NGC_3201_V142-1,none,27.693,17.25,0.78,-0.0947,0.0027,0.3448,0.0045,3.654,0.005,3.772,0.012,0.731,0.049,0.80408137,3.772,0.78,2.9725,n
NGC_3201_V142-2,none,27.693,17.25,0.78,-0.1778,0.0013,-0.1593,0.0025,4.588,0.003,3.744,0.012,-0.24,0.11,0.664048806,3.744,0.78,5.4,n
LV_Her-1,F9_V,18.436,11.06,0.78,0.0766,0.0036,0.1329,0.0038,4.2493,0.0082,3.793,0.011,0.349,0.044,1.192888907,3.793,0.78,3.9275,F
LV_Her-2,F9_V,18.436,11.06,0.78,0.0681,0.003,0.1183,0.0036,4.2695,0.0081,3.78,0.011,0.311,0.044,1.169768709,3.78,0.78,4.0225,F
OGLE-SMC-ECL-3529-1,F8_III,234.326,17.12,0.8,0.3729,0.0055,1.1004,0.0138,2.61,0.03,3.766,0.007,2.22,0.042,2.359934776,3.766,0.8,-0.75,F
OGLE-SMC-ECL-3529-2,G3_III,234.326,17.12,0.8,0.3945,0.0088,1.3243,0.0062,2.18,0.01,3.723,0.015,2.498,0.061,2.480275938,3.723,0.8,-1.445,G
OGLE-SMC-ECL-2761-1,F9_III,150.364,17.3,0.82,0.3874,0.0071,1.238,0.0075,2.35,0.01,3.751,0.009,2.431,0.04,2.440057159,3.751,0.82,-1.2775,F
OGLE-SMC-ECL-2761-2,G0_III,150.364,17.3,0.82,0.3766,0.0055,1.243,0.0099,2.33,0.02,3.747,0.009,2.428,0.042,2.380126282,3.747,0.82,-1.27,G
ASAS_J065134-2211.5-1,G,8.22,9.83,0.83,-0.0195,0.0055,-0.0013,0.0017,4.421,0.003,3.74,0.008,-0.09,0.03,0.956092695,3.74,0.83,5.025,G
ASAS_J065134-2211.5-2,none,8.22,9.83,0.83,-0.1713,0.0032,-0.1612,0.0044,4.589,0.009,3.599,0.012,-0.96,0.05,0.674062241,3.599,0.83,7.2,n
AI_Phe-1,K0_IV,24.592,8.61,0.83,0.0769,0.0003,0.2565,0.0005,4.002,0.0011,3.792,0.002,0.654,0.007,1.19371321,3.792,0.83,3.165,K
AI_Phe-2,F7_V,24.592,8.61,0.83,0.0948,0.0003,0.4673,0.0003,3.5981,0.0009,3.707,0.002,0.736,0.006,1.243941624,3.707,0.83,2.96,F
Kepler-47-1,none,7.448,15.38,0.85,-0.0191,0.0064,-0.0287,0.0023,4.476,0.005,3.751,0.008,-0.076,0.035,0.956973695,3.751,0.85,4.99,n
Kepler-47-2,none,7.448,15.38,0.85,-0.466,0.0038,-0.4711,0.0026,4.914,0.005,3.526,0.013,-1.854,0.062,0.341979443,3.526,0.85,9.435,n
KIC_8410637-1,G_III,408.324,11.33,0.85,0.1679,0.005,1.0251,0.002,2.556,0.003,3.663,0.008,1.656,0.03,1.471973529,3.663,0.85,0.66,G
KIC_8410637-2,none,408.324,11.33,0.85,0.1169,0.0046,0.192,0.0028,4.171,0.005,3.783,0.014,0.468,0.058,1.308880507,3.783,0.85,3.63,n
CG_Cyg-1,G9_V,0.631,10.08,0.86,-0.0269,0.0055,-0.0506,0.0063,4.512,0.014,3.721,0.015,-0.26,0.06,0.939939715,3.721,0.86,5.45,G
CG_Cyg-2,K3_V,0.631,10.08,0.86,-0.0915,0.007,-0.0757,0.0072,4.505,0.016,3.674,0.006,-0.51,0.03,0.810027942,3.674,0.86,6.075,K
OGLE_SMC108.1_14904-1,F9_II,185.218,15.21,0.86,0.645,0.004,1.6716,0.0049,1.74,0.014,3.754,0.008,3.313,0.042,4.415704474,3.754,0.86,-3.4825,F
OGLE_SMC108.1_14904-2,G7_II,185.218,15.21,0.86,0.6463,0.0036,1.8065,0.0034,1.472,0.01,3.695,0.008,3.346,0.038,4.428942072,3.695,0.86,-3.565,G
1SWASP_J093010.78+533859.5-1,K1_V,1.306,9.84,0.88,-0.1158,0.0079,-0.1209,0.0046,4.564,0.012,3.699,0.017,-0.49,0.07,0.765949258,3.699,0.88,6.025,K
1SWASP_J093010.78+533859.5-2,K5_V,1.306,9.84,0.88,-0.1911,0.0081,-0.129,0.0058,4.505,0.014,3.627,0.021,-0.8,0.08,0.644020957,3.627,0.88,6.8,K
M4_V66-1,none,8.111,16.84,0.88,-0.1056,0.0025,-0.0293,0.0022,4.388,0.077,3.79,0.007,0.053,0.028,0.784151541,3.79,0.88,4.6675,n
M4_V66-2,none,8.111,16.84,0.88,-0.1283,0.0025,-0.081,0.0028,4.469,0.085,3.774,0.008,-0.115,0.031,0.744217709,3.774,0.88,5.0875,n
