Seq,SIMBAD_ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,Meta,eMeta1,eMeta2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logL,logR,logT
284,Z_Her A,1.611,0.07,0.07,1.859,0.06,0.06,6397,75,75,5.2,0.449,0.449,,,,4.11,0.03,0.03,,,,3.6008827,MS,F,,eker14,4.34512725,3.227541689,1.172424574,8.634615385,EB,0.7160033436347992,0.2692793897718986,3.805976350717563
444,KIC11620833,1.609,0.188042548,0.188830612,3.865,0.158644256,0.161987654,5026,75,75,5.256,0.544857762,0.544857762,0.269,0.099,0.099,3.469,0.015811388,0.016643317,0.0278,0.0006687,0.000678874,4.4995732,PMS,K,,serenelli17,11.71140958,4.147890168,1.49224035,10.36639578,A,0.7206553565517244,0.5871494982543437,3.701222484256557
157,TX_Her A,1.607,0.04,0.04,1.688,0.03,0.03,7534,200,200,8.241,1.048,1.048,,,,4.19,0.03,0.03,,,,2.8555792,MS,A,,eker14,2.489110143,1.777251185,2.654632333,12.71690329,EB,0.9159799141402244,0.22737244228963624,3.877025615867249
466,KIC11919192,1.6,0.15,0.19,2.29,0.1,0.11,6788,81,81,9.2,0.763354241,0.763354241,-0.28,0.2,0.15,3.919,0.019,0.02,0.1324,0.0085,0.0081,3.3445822,MS,F,,C14sdss,10.625,4.585152838,1.193282263,8.297328701,A,0.9637878273455552,0.359835482339888,3.8317418336456384
870,KIC9353859,1.599,0.18102486,0.204707108,3.678,0.202272094,0.234303222,5284,85,85,8.54,0.799519345,0.799519345,-0.112,0.103,0.103,3.509,0.01118034,0.01118034,0.03208,0.002240683,0.001961003,4.3304542,PMS,G,,serenelli17,12.06166254,5.93495536,1.608629826,9.362053223,A,0.931457870689005,0.5656117249020587,3.7229628089424898
255,V821_Cas B,1.597,0.187,0.187,1.382,0.119,0.119,8450,380,380,8.75,2.891,2.891,,,,4.36,0.12,0.12,,,,2.2551412,MS,A,,eker14,11.70945523,8.610709117,4.49704142,33.04,EB,0.9420080530223133,0.14050804303817957,3.926856708949692
720,KIC7282890,1.596,0.094413982,0.215615398,2.393,0.075073298,0.107703296,6341,47,47,8.587,0.730976121,0.730976121,-0.014,0.099,0.099,3.877,0.013038405,0.015652476,0.1156,0.002651161,0.002690693,3.6375907,MS,F,,serenelli17,9.712699886,3.818984406,0.741208011,8.512590212,A,0.9338414628987213,0.3789426986134373,3.8021577531869615
476,KIC12069127,1.59,0.062968246,0.062968246,2.295,0.031890437,0.031240999,6476,66,66,9.191,0.784090216,0.784090216,0.076,0.1,0.1,3.916,0.006708204,0.006708204,0.1312,0.001712124,0.001537,3.5490982,MS,F,,serenelli17,3.960267042,1.375412552,1.019147622,8.531065345,A,0.9633627661037362,0.36078268987328005,3.811306840081336
369,KIC10593351,1.59,0.060440053,0.058600341,3.071,0.053535035,0.053535035,5927,81,81,11.41,0.970356382,0.970356382,0.151,0.1,0.1,3.665,0.005830952,0.005830952,0.05494,0.001283151,0.001284973,3.9089677,PMS,G,,serenelli17,3.743408624,1.743244391,1.366627299,8.504438055,A,1.0572856444182146,0.48727981644306895,3.772834927239018
864,KIC9287845,1.589,0.090603532,0.147627911,2.313,0.093920179,0.092973114,6488,62,62,8.928,0.762176079,0.762176079,0.131,0.1,0.1,3.905,0.022203603,0.023194827,0.1269,0.010608884,0.010234042,3.5412322,MS,F,,serenelli17,7.496269433,4.040062544,0.955610358,8.536918449,A,0.9507541815935036,0.36417563277061943,3.8121108412030997
