,M,logT,type,rho,logg,logL,logR,SNtype
755,1.486,3.8076703012304836,F,0.06365,3.697,1.1034616220947047,0.4560622244549514,3.0
757,1.48,3.8100307864058394,F,0.1244,3.89,0.9629845843169971,0.35602585719312274,3.0
759,1.477,3.793161529245551,F,0.08283,3.772,0.9934362304976118,0.41664050733828095,3.0
760,1.477,3.7673785241141804,G,0.05478,3.65,0.9969492484953811,0.4765418090274289,4.0
761,1.475,3.7846885995014214,F,0.08244,3.772,0.8795546009389744,0.41713940972732566,3.0
762,1.471,3.7834747875822465,F,0.09879,3.823,0.9392695863387313,0.3907585287387172,3.0
763,1.47,3.814913181275074,F,0.244,4.085,0.7456992266025056,0.25983269906348355,3.0
764,1.47,3.8069935136821074,F,0.1769,3.991,0.8304603500309671,0.3042750504771283,3.0
765,1.47,3.717504074764202,G,0.02939,3.472,0.9342458810230713,0.5660837841679959,4.0
766,1.469,3.7876021461823375,F,0.162767559,3.9666,0.7989267385772014,0.3185432991220218,3.0
768,1.467,3.789228057267335,F,0.07556,3.746,0.9875768947269874,0.42942926438178763,3.0
769,1.465,3.8123785111541943,F,0.2054,4.035,0.824646414718352,0.28397928423847985,3.0
770,1.464,3.8176975547630243,F,0.2579,4.101,0.7809650296083169,0.2506639194632435,3.0
771,1.464,3.8040712488856614,F,0.1681,3.975,0.8655777074199291,0.31281182621208803,3.0
773,1.46,3.8027737252919755,F,0.0833,3.776,1.04766419460156,0.414973347970818,3.0
775,1.458,3.8073320392911905,F,0.1604,3.962,0.8258154449852035,0.3195224490654541,3.0
776,1.458,3.7863964613723042,F,0.07331,3.736,1.0748164406451748,0.43280900503316827,3.0
777,1.455,3.8029104894190398,F,0.171,3.98,0.8185557792978027,0.3098430047160705,3.0
779,1.454,3.8027737252919755,F,0.169,3.976,0.7659664247857139,0.311541958401195,3.0
780,1.452,3.816174990428802,F,0.2292,4.066,0.7390974461174751,0.2674064187529041,3.0
781,1.452,3.7013952690139202,K,0.01852,3.336,0.9642124729698192,0.6311392502568111,5.0
782,1.45,3.782973994944048,F,0.0534,3.643,1.0976043288744108,0.47712125471966244,3.0
784,1.448,3.7956715059460215,F,0.09475,3.809,0.9969492484953811,0.393926006585837,3.0
