Mass[solMass],logT,Absolute Mag,B-V
1.66,3.865,2.17,0.26
1.63,3.865,2.17,0.26
1.71,3.865,2.25,0.26
1.66,3.844,2.35,0.32
1.65,3.844,2.35,0.32
1.54,3.844,2.35,0.32
1.66,3.858,2.36,0.28
1.64,3.85,2.41,0.3
1.57,3.85,2.41,0.3
1.54,3.85,2.41,0.3
1.61,3.844,2.49,0.32
1.55,3.844,2.49,0.32
1.51,3.844,2.49,0.32
1.55,3.844,2.67,0.32
1.51,3.837,2.79,0.34
1.32,3.8,2.94,0.46
1.4,3.819,3.09,0.4
1.33,3.809,3.28,0.43
1.2,3.784,3.36,0.53
1.31,3.816,3.38,0.41
1.19,3.777,3.65,0.56
1.18,3.777,3.65,0.56
1.12,3.777,3.65,0.56
1.22,3.803,3.69,0.45
1.22,3.806,3.74,0.44
1.17,3.777,3.76,0.56
1.13,3.777,3.76,0.56
1.1,3.777,3.76,0.56
1.18,3.791,3.82,0.5
1.1,3.782,4.19,0.54
1.09,3.782,4.26,0.54
1.0,3.75,4.31,0.68
0.98,3.75,4.31,0.68
0.97,3.75,4.31,0.68
1.04,3.768,4.39,0.6
1.05,3.782,4.55,0.54
1.02,3.768,4.57,0.6
1.01,3.766,4.62,0.61
1.16,3.837,4.67,0.34
0.99,3.761,4.71,0.63
0.98,3.761,4.83,0.63
0.97,3.759,4.83,0.64
0.96,3.755,4.89,0.66
0.87,3.73,5.11,0.77
0.9,3.741,5.23,0.72
0.81,3.714,5.28,0.84
0.87,3.736,5.43,0.74
0.9,3.748,5.43,0.69
0.8,3.714,5.7,0.84
1.0,3.8,5.71,0.46
0.77,3.705,5.71,0.88
0.81,3.716,5.73,0.83
0.72,3.691,5.78,0.94
0.8,3.714,5.8,0.84
0.79,3.711,5.87,0.85
0.77,3.707,5.88,0.87
0.78,3.711,6.15,0.85
0.76,3.705,6.17,0.88
0.73,3.693,6.29,0.93
1.03,3.844,6.45,0.32
0.88,3.757,6.45,0.65
0.74,3.698,6.46,0.91
0.63,3.664,6.76,1.06
0.58,3.652,6.78,1.11
0.38,3.652,6.78,1.11
0.37,3.652,6.78,1.11
0.87,3.759,6.97,0.64
0.67,3.67,7.07,1.03
0.53,3.639,7.09,1.17
0.28,3.639,7.09,1.17
0.28,3.639,7.09,1.17
-1.0,3.623,7.26,1.24
0.61,3.652,7.27,1.11
3.58,3.652,7.27,1.11
0.32,3.652,7.27,1.11
-1.0,3.606,7.28,1.34
-1.0,3.601,7.48,1.36
0.57,3.641,7.5,1.16
0.27,3.641,7.5,1.16
0.26,3.641,7.5,1.16
-1.0,3.609,7.67,1.3
0.78,3.716,7.73,0.83
0.53,3.627,7.79,1.22
-1.0,3.607,7.81,1.31
0.79,3.72,7.84,0.81
0.78,3.718,8.08,0.82
0.47,3.607,8.3,1.31
-1.0,3.589,8.33,1.38
-1.0,3.581,8.41,1.41
0.77,3.714,8.5,0.84
-1.0,3.315,8.61,1.8
-1.0,3.572,8.73,1.44
-1.0,3.578,8.75,1.42
-1.0,3.569,8.91,1.45
0.68,3.659,8.93,1.08
-1.0,3.564,8.94,1.47
-1.0,3.564,8.97,1.47
0.58,3.618,9.12,1.26
0.11,3.618,9.12,1.26
8.52,3.618,9.12,1.26
0.49,3.594,9.14,1.36
-1.0,3.569,9.15,1.45
-1.0,3.564,9.21,1.47
-1.0,3.558,9.32,1.49
-1.0,3.55,9.56,1.52
0.43,3.575,9.61,1.43
-1.0,3.478,9.75,1.69
-1.0,3.547,9.82,1.53
-1.0,3.215,10.13,1.88
0.67,3.648,10.18,1.13
0.67,3.645,10.26,1.14
0.7,3.668,10.29,1.04
-1.0,3.487,10.39,1.7
0.89,3.841,10.72,0.33
0.29,3.532,10.72,1.58
0.46,3.556,10.75,1.5
1.1,4.075,10.79,-0.09
1.04,4.01,10.95,-0.03
0.7,3.664,10.99,1.06
0.64,3.62,11.02,1.25
3.56,3.62,11.02,1.25
9.28,3.62,11.02,1.25
0.58,3.589,11.04,1.38
1.02,4.0,11.06,-0.02
0.4,3.535,11.22,1.57
0.69,3.65,11.32,1.12
-1.0,3.055,11.39,2.02
0.27,3.515,11.42,1.64
0.29,3.515,11.53,1.64
0.59,3.586,11.6,1.39
