Mass[solMass],logT,Absolute Mag,B-V
2.66,3.918,0.96,0.44
2.66,3.918,0.96,0.44
2.66,3.918,0.96,0.44
2.63,3.932,1.02,0.41
2.63,3.932,1.02,0.41
2.63,3.932,1.02,0.41
2.52,3.918,1.17,0.44
2.52,3.918,1.17,0.44
2.52,3.918,1.17,0.44
2.62,3.981,1.18,0.32
2.81,3.994,1.21,0.3
2.8,3.994,1.21,0.3
2.64,3.994,1.21,0.3
2.81,3.994,1.21,0.3
2.8,3.994,1.21,0.3
2.64,3.994,1.21,0.3
2.81,3.994,1.21,0.3
2.8,3.994,1.21,0.3
2.64,3.994,1.21,0.3
2.5,3.945,1.22,0.38
2.5,3.945,1.22,0.38
2.5,3.945,1.22,0.38
2.44,3.936,1.31,0.4
2.44,3.936,1.31,0.4
2.83,4.02,1.32,0.27
2.83,4.02,1.32,0.27
2.54,3.981,1.33,0.32
2.43,3.936,1.33,0.4
2.54,3.981,1.33,0.32
2.54,3.981,1.33,0.32
2.43,3.936,1.33,0.4
2.43,3.936,1.33,0.4
2.37,3.923,1.43,0.43
2.37,3.923,1.43,0.43
2.37,3.923,1.43,0.43
2.79,4.03,1.46,0.26
2.79,4.03,1.46,0.26
2.64,3.981,1.46,0.32
2.55,3.981,1.46,0.32
2.48,3.981,1.46,0.32
2.79,4.03,1.46,0.26
2.64,3.981,1.46,0.32
2.55,3.981,1.46,0.32
2.48,3.981,1.46,0.32
2.86,4.05,1.48,0.24
2.86,4.05,1.48,0.24
2.86,4.05,1.48,0.24
2.6,3.975,1.5,0.33
2.54,3.975,1.5,0.33
2.44,3.975,1.5,0.33
2.6,3.975,1.5,0.33
2.54,3.975,1.5,0.33
2.44,3.975,1.5,0.33
2.6,3.975,1.5,0.33
2.54,3.975,1.5,0.33
2.44,3.975,1.5,0.33
2.36,3.95,1.52,0.37
2.36,3.95,1.52,0.37
2.36,3.95,1.52,0.37
2.71,4.02,1.53,0.27
2.71,4.02,1.53,0.27
2.27,3.923,1.61,0.43
2.27,3.923,1.61,0.43
2.27,3.923,1.61,0.43
2.31,3.945,1.61,0.38
2.31,3.945,1.61,0.38
2.62,4.01,1.65,0.28
2.62,4.01,1.65,0.28
2.62,4.01,1.65,0.28
2.56,3.994,1.67,0.3
2.56,3.994,1.67,0.3
2.56,3.994,1.67,0.3
2.67,4.04,1.81,0.25
2.67,4.04,1.81,0.25
2.67,4.04,1.81,0.25
2.44,3.981,1.84,0.32
2.44,3.981,1.84,0.32
2.44,3.981,1.84,0.32
2.49,4.0,1.85,0.29
2.49,4.0,1.85,0.29
2.49,4.0,1.85,0.29
2.27,3.945,2.01,0.38
2.27,3.945,2.01,0.38
2.27,3.945,2.01,0.38
2.05,3.918,2.09,0.44
2.05,3.918,2.09,0.44
2.05,3.918,2.09,0.44
2.24,3.969,2.19,0.34
2.24,3.969,2.19,0.34
2.19,3.945,2.19,0.38
2.19,3.945,2.19,0.38
2.19,3.945,2.19,0.38
2.24,3.969,2.19,0.34
2.17,3.945,2.23,0.38
2.13,3.927,2.26,0.42
2.13,3.927,2.26,0.42
1.9,3.869,2.3,0.56
1.9,3.869,2.3,0.56
1.9,3.869,2.3,0.56
2.08,3.932,2.4,0.41
2.08,3.932,2.4,0.41
2.08,3.932,2.4,0.41
2.03,3.909,2.43,0.46
1.95,3.909,2.43,0.46
1.91,3.909,2.43,0.46
2.04,3.914,2.43,0.45
1.93,3.914,2.43,0.45
1.92,3.914,2.43,0.45
2.04,3.914,2.43,0.45
1.93,3.914,2.43,0.45
1.92,3.914,2.43,0.45
2.03,3.909,2.43,0.46
1.95,3.909,2.43,0.46
1.91,3.909,2.43,0.46
2.03,3.909,2.43,0.46
1.95,3.909,2.43,0.46
1.91,3.909,2.43,0.46
2.04,3.914,2.43,0.45
1.93,3.914,2.43,0.45
1.92,3.914,2.43,0.45
1.99,3.896,2.5,0.49
1.97,3.896,2.5,0.49
1.86,3.896,2.5,0.49
1.99,3.896,2.5,0.49
1.97,3.896,2.5,0.49
1.86,3.896,2.5,0.49
1.82,3.881,2.54,0.53
1.82,3.881,2.54,0.53
1.82,3.881,2.54,0.53
1.99,3.918,2.56,0.44
1.99,3.918,2.56,0.44
2.0,3.927,2.57,0.42
1.8,3.873,2.57,0.55
1.8,3.873,2.57,0.55
2.0,3.927,2.57,0.42
1.99,3.927,2.59,0.42
1.99,3.927,2.59,0.42
2.02,3.945,2.61,0.38
2.02,3.945,2.61,0.38
1.94,3.9,2.62,0.48
1.84,3.9,2.62,0.48
1.83,3.9,2.62,0.48
1.94,3.9,2.62,0.48
1.84,3.9,2.62,0.48
1.83,3.9,2.62,0.48
1.94,3.9,2.62,0.48
1.84,3.9,2.62,0.48
1.83,3.9,2.62,0.48
1.96,3.936,2.72,0.4
1.96,3.936,2.72,0.4
1.93,3.936,2.8,0.4
1.93,3.936,2.8,0.4
2.0,3.963,2.84,0.35
2.0,3.963,2.84,0.35
2.0,3.963,2.84,0.35
1.92,3.936,2.84,0.4
1.92,3.936,2.84,0.4
1.89,3.932,2.89,0.41
1.89,3.932,2.89,0.41
1.89,3.932,2.89,0.41
1.84,3.918,2.96,0.44
1.84,3.918,2.96,0.44
1.78,3.881,2.99,0.53
1.78,3.896,3.04,0.49
1.78,3.896,3.04,0.49
1.78,3.896,3.04,0.49
1.59,3.825,3.06,0.69
1.59,3.825,3.06,0.69
1.59,3.825,3.06,0.69
1.99,3.981,3.07,0.32
1.99,3.981,3.07,0.32
1.99,3.981,3.07,0.32
1.79,3.914,3.08,0.45
1.79,3.914,3.08,0.45
1.73,3.877,3.13,0.54
1.73,3.877,3.13,0.54
1.73,3.877,3.13,0.54
1.56,3.825,3.16,0.69
1.56,3.825,3.16,0.69
1.56,3.825,3.16,0.69
1.7,3.869,3.2,0.56
1.71,3.885,3.2,0.52
1.71,3.885,3.2,0.52
1.71,3.885,3.2,0.52
1.8,3.932,3.23,0.41
1.8,3.932,3.23,0.41
1.8,3.932,3.23,0.41
1.7,3.892,3.25,0.5
1.78,3.927,3.25,0.42
1.78,3.927,3.25,0.42
1.7,3.892,3.25,0.5
1.7,3.892,3.25,0.5
1.78,3.927,3.25,0.42
1.51,3.806,3.29,0.75
1.51,3.806,3.29,0.75
1.51,3.806,3.29,0.75
1.66,3.854,3.3,0.6
1.57,3.854,3.3,0.6
1.55,3.854,3.3,0.6
1.66,3.854,3.3,0.6
1.57,3.854,3.3,0.6
1.55,3.854,3.3,0.6
1.68,3.892,3.31,0.5
1.68,3.892,3.31,0.5
1.68,3.892,3.31,0.5
1.63,3.854,3.38,0.6
1.63,3.854,3.38,0.6
1.63,3.854,3.38,0.6
1.5,3.831,3.39,0.67
1.5,3.831,3.39,0.67
1.5,3.831,3.39,0.67
1.71,3.914,3.4,0.45
1.71,3.914,3.4,0.45
1.71,3.914,3.4,0.45
1.6,3.837,3.44,0.65
1.57,3.837,3.44,0.65
1.49,3.837,3.44,0.65
1.6,3.837,3.44,0.65
1.57,3.837,3.44,0.65
1.49,3.837,3.44,0.65
1.65,3.896,3.47,0.49
1.65,3.896,3.47,0.49
1.65,3.9,3.49,0.48
1.65,3.9,3.49,0.48
1.65,3.9,3.49,0.48
1.59,3.881,3.59,0.53
1.59,3.881,3.59,0.53
1.56,3.869,3.62,0.56
1.56,3.869,3.62,0.56
1.55,3.85,3.62,0.61
1.56,3.869,3.62,0.56
1.55,3.85,3.62,0.61
1.52,3.862,3.75,0.58
1.52,3.862,3.75,0.58
1.52,3.862,3.75,0.58
1.67,3.945,3.85,0.38
1.67,3.945,3.85,0.38
1.5,3.865,3.85,0.57
1.5,3.865,3.85,0.57
1.28,3.795,4.01,0.79
1.28,3.795,4.01,0.79
1.47,3.869,4.03,0.56
1.47,3.869,4.03,0.56
1.44,3.877,4.21,0.54
1.44,3.877,4.21,0.54
1.37,3.847,4.26,0.62
1.42,3.869,4.26,0.56
1.37,3.847,4.26,0.62
1.37,3.847,4.26,0.62
1.42,3.869,4.26,0.56
1.16,3.766,4.4,0.92
1.16,3.766,4.4,0.92
1.38,3.869,4.45,0.56
1.38,3.869,4.45,0.56
8.1,4.302,-1.64,-0.001
7.73,4.29,-1.54,0.006
7.18,4.263,-1.46,0.022
7.75,4.305,-1.37,-0.002
7.36,4.283,-1.36,0.01
6.41,4.225,-1.27,0.05
6.07,4.225,-1.27,0.05
6.03,4.225,-1.27,0.05
5.88,4.211,-0.98,0.061
6.01,4.231,-0.88,0.045
6.57,4.28,-0.74,0.012
5.54,4.22,-0.58,0.054
6.01,4.26,-0.49,0.024
5.41,4.24,-0.13,0.038
4.12,4.117,-0.06,0.12
4.72,4.202,0.15,0.068
4.84,4.212,0.15,0.06
4.29,4.163,0.18,0.092
4.48,4.183,0.2,0.08
4.19,4.155,0.22,0.097
4.48,4.188,0.28,0.077
4.79,4.227,0.46,0.048
3.76,4.143,0.74,0.104
3.28,4.081,0.8,0.145
3.89,4.167,0.88,0.09
3.57,4.14,1.03,0.106
2.82,4.018,1.11,0.202
3.57,4.147,1.12,0.102
3.23,4.112,1.26,0.123
3.16,4.11,1.37,0.124
3.18,4.117,1.43,0.12
2.62,4.016,1.48,0.204
2.93,4.085,1.53,0.142
2.77,4.062,1.61,0.16
2.76,4.065,1.66,0.158
2.45,4.008,1.8,0.212
2.3,3.961,1.82,0.282
2.51,4.031,1.88,0.189
5.18,3.721,-1.72,0.93
4.5,3.721,-1.72,0.93
4.21,3.721,-1.72,0.93
4.7,3.762,-1.57,0.68
4.2,3.762,-1.57,0.68
4.16,3.762,-1.57,0.68
5.41,3.675,-1.57,1.15
4.67,3.675,-1.57,1.15
4.16,3.675,-1.57,1.15
3.93,4.062,-1.17,-0.08
3.66,3.969,-1.13,0.03
3.72,4.04,-1.04,-0.06
5.18,4.212,-1.02,-0.18
3.54,3.975,-0.99,0.02
3.55,4.01,-0.94,-0.03
3.54,4.02,-0.91,-0.04
4.14,4.117,-0.81,-0.12
3.62,4.075,-0.74,-0.09
3.82,4.075,-0.72,-0.09
3.81,4.075,-0.72,-0.09
3.6,4.075,-0.72,-0.09
3.92,4.1,-0.68,-0.11
3.25,4.0,-0.64,-0.02
3.26,4.03,-0.53,-0.05
2.89,3.981,-0.23,0.01
2.83,3.963,-0.18,0.04
3.76,3.694,-0.14,0.98
3.43,3.694,-0.14,0.98
3.35,3.694,-0.14,0.98
3.74,4.133,-0.09,-0.13
3.18,4.04,-0.07,-0.06
2.74,3.981,0.03,0.01
2.79,4.0,0.04,-0.02
3.17,4.062,0.1,-0.08
3.08,4.05,0.14,-0.07
2.98,4.04,0.25,-0.06
2.56,3.981,0.36,0.01
2.73,3.988,0.39,0.0
2.69,3.988,0.39,0.0
2.57,3.988,0.39,0.0
2.69,3.981,0.44,0.01
2.67,3.981,0.44,0.01
2.52,3.981,0.44,0.01
2.49,3.975,0.46,0.02
2.78,4.02,0.47,-0.04
2.85,4.04,0.48,-0.06
2.64,3.988,0.55,0.0
2.62,3.981,0.57,0.01
2.49,3.981,0.57,0.01
2.46,3.981,0.57,0.01
2.84,4.05,0.58,-0.07
2.66,4.0,0.58,-0.02
2.61,3.988,0.61,0.0
2.3,3.932,0.63,0.1
2.56,3.975,0.64,0.02
2.45,3.975,0.64,0.02
2.41,3.975,0.64,0.02
2.63,4.01,0.69,-0.03
2.25,3.923,0.72,0.12
2.23,3.923,0.76,0.12
2.55,4.0,0.78,-0.02
2.39,3.956,0.88,0.05
2.28,3.956,0.88,0.05
2.25,3.956,0.88,0.05
2.2,3.941,0.9,0.08
2.46,3.988,0.91,0.0
2.13,3.918,0.95,0.13
2.33,3.95,0.97,0.06
2.22,3.95,0.97,0.06
2.2,3.95,0.97,0.06
2.09,3.9,0.98,0.17
2.27,3.969,1.2,0.03
2.16,3.923,1.26,0.12
2.1,3.923,1.26,0.12
2.02,3.923,1.26,0.12
2.15,3.936,1.32,0.09
2.11,3.927,1.38,0.11
2.05,3.945,1.6,0.07
1.79,3.877,1.69,0.23
1.77,3.877,1.75,0.23
1.73,3.862,1.79,0.27
1.89,3.888,1.8,0.2
1.82,3.888,1.8,0.2
1.77,3.888,1.8,0.2
1.71,3.854,1.83,0.29
1.7,3.837,1.85,0.34
1.71,3.862,1.86,0.27
1.67,3.841,1.92,0.33
1.95,3.95,1.93,0.06
1.81,3.896,2.03,0.18
1.77,3.877,2.09,0.23
1.61,3.844,2.1,0.32
1.76,3.888,2.14,0.2
1.73,3.877,2.21,0.23
1.72,3.865,2.21,0.26
1.63,3.865,2.21,0.26
1.62,3.865,2.21,0.26
1.7,3.877,2.27,0.23
1.74,3.909,2.32,0.15
1.68,3.877,2.34,0.23
1.66,3.862,2.37,0.27
1.67,3.9,2.5,0.17
1.64,3.892,2.54,0.19
1.56,3.865,2.69,0.26
1.58,3.885,2.72,0.21
1.53,3.847,2.74,0.31
1.54,3.869,2.78,0.25
1.49,3.844,2.86,0.32
3.95,3.676,-0.16,1.07
3.53,3.676,-0.16,1.07
3.28,3.676,-0.16,1.07
2.55,3.9,0.2,0.17
2.51,3.941,0.28,0.08
3.15,3.713,0.41,0.88
3.19,3.704,0.47,0.93
2.38,3.877,0.49,0.23
2.25,3.918,0.71,0.13
2.23,3.918,0.75,0.13
2.2,3.936,0.89,0.09
2.16,3.923,0.92,0.12
2.33,3.941,0.95,0.08
2.31,3.941,0.95,0.08
2.18,3.941,0.95,0.08
2.02,3.905,1.16,0.16
2.21,3.932,1.17,0.1
2.13,3.932,1.17,0.1
2.08,3.932,1.17,0.1
2.19,3.923,1.18,0.12
2.18,3.923,1.18,0.12
2.05,3.923,1.18,0.12
2.04,3.918,1.19,0.13
2.09,3.932,1.43,0.1
2.1,3.941,1.45,0.08
2.05,3.905,1.45,0.16
2.03,3.905,1.45,0.16
1.91,3.905,1.45,0.16
1.88,3.896,1.49,0.18
1.85,3.877,1.51,0.23
2.04,3.927,1.54,0.11
2.09,3.956,1.55,0.05
2.0,3.936,1.68,0.09
1.98,3.927,1.7,0.11
1.94,3.905,1.72,0.16
1.9,3.914,1.84,0.14
1.88,3.914,1.9,0.14
1.9,3.927,1.92,0.11
1.86,3.927,2.03,0.11
1.77,3.896,2.14,0.18
8.49,4.267,-2.85,-0.22
7.42,4.267,-2.85,-0.22
8.56,4.375,-2.26,-0.27
8.75,4.375,-2.26,-0.27
7.29,4.3,-2.16,-0.24
7.18,4.3,-2.16,-0.24
6.9,4.283,-2.04,-0.23
6.76,4.283,-2.04,-0.23
6.3,4.283,-2.04,-0.23
6.27,4.283,-2.04,-0.23
6.84,4.3,-1.94,-0.24
6.88,4.3,-1.94,-0.24
7.59,4.35,-1.92,-0.26
7.75,4.35,-1.92,-0.26
6.47,4.283,-1.82,-0.23
6.47,4.283,-1.82,-0.23
5.11,4.25,-1.15,-0.21
5.26,4.25,-1.15,-0.21
4.91,4.225,-1.11,-0.19
4.94,4.225,-1.11,-0.19
5.27,4.267,-1.07,-0.22
5.42,4.267,-1.07,-0.22
4.18,4.133,-0.89,-0.13
3.95,4.133,-0.89,-0.13
3.91,4.133,-0.89,-0.13
3.72,4.133,-0.89,-0.13
4.68,4.238,-0.78,-0.2
4.81,4.238,-0.78,-0.2
4.35,4.212,-0.74,-0.18
4.51,4.212,-0.74,-0.18
4.08,4.2,-0.47,-0.17
4.2,4.2,-0.47,-0.17
3.7,4.167,-0.4,-0.15
3.86,4.167,-0.4,-0.15
4.0,4.2,-0.29,-0.17
4.08,4.2,-0.29,-0.17
4.08,4.212,-0.15,-0.18
4.12,4.212,-0.15,-0.18
3.54,4.167,-0.03,-0.15
3.63,4.167,-0.03,-0.15
3.21,4.133,0.03,-0.13
3.34,4.133,0.03,-0.13
2.71,4.062,0.39,-0.08
2.76,4.062,0.39,-0.08
2.75,4.1,0.68,-0.11
2.8,4.1,0.68,-0.11
2.49,4.0,0.69,-0.02
2.39,4.0,0.69,-0.02
2.35,4.0,0.69,-0.02
2.24,4.0,0.69,-0.02
2.55,4.075,0.85,-0.09
2.61,4.075,0.85,-0.09
2.61,4.087,0.9,-0.1
2.64,4.087,0.9,-0.1
-1.0,4.183,0.91,-0.16
2.21,4.02,1.12,-0.04
2.28,4.02,1.12,-0.04
2.45,4.075,1.2,-0.09
2.47,4.075,1.2,-0.09
2.28,4.05,1.34,-0.07
2.3,4.05,1.34,-0.07
-1.0,4.1,1.36,-0.11
2.18,4.04,1.56,-0.06
2.19,4.04,1.56,-0.06
2.13,4.03,1.62,-0.05
2.14,4.03,1.62,-0.05
2.03,4.01,1.7,-0.03
2.05,4.01,1.7,-0.03
2.11,4.03,1.71,-0.05
2.11,4.03,1.71,-0.05
-1.0,4.03,1.79,-0.05
-1.0,3.988,2.22,0.0
16.31,4.375,-3.86,0.01
7.53,4.01,-2.78,0.25
7.0,3.645,-1.72,1.63
6.17,3.645,-1.72,1.63
5.6,3.645,-1.72,1.63
5.68,3.759,-1.54,1.04
4.92,3.759,-1.54,1.04
4.73,3.759,-1.54,1.04
-1.0,3.477,-0.9,2.01
5.89,3.642,-0.83,1.6
5.14,3.642,-0.83,1.6
4.39,3.642,-0.83,1.6
4.11,3.905,-0.73,0.44
4.25,3.819,-0.59,0.68
3.61,3.9,-0.25,0.45
3.59,3.905,-0.24,0.44
4.94,3.642,-0.18,1.52
4.49,3.642,-0.18,1.52
3.69,3.642,-0.18,1.52
4.96,3.658,-0.15,1.44
4.29,3.658,-0.15,1.44
3.68,3.658,-0.15,1.44
4.39,3.713,-0.13,1.16
3.93,3.713,-0.13,1.16
3.74,3.713,-0.13,1.16
3.63,3.854,-0.11,0.56
3.42,3.918,-0.08,0.41
-1.0,3.428,-0.04,1.99
4.56,3.678,0.03,1.34
4.0,3.678,0.03,1.34
3.58,3.678,0.03,1.34
3.37,3.602,0.15,1.71
3.69,3.759,0.22,0.93
3.37,3.831,0.23,0.64
3.11,3.932,0.29,0.38
3.45,3.776,0.39,0.85
3.81,3.708,0.5,1.19
3.51,3.708,0.5,1.19
3.47,3.708,0.5,1.19
3.45,3.752,0.51,0.96
3.45,3.752,0.51,0.96
3.08,3.615,0.58,1.65
3.08,3.615,0.58,1.65
3.03,3.615,0.58,1.65
2.96,3.847,0.63,0.59
4.04,3.67,0.65,1.38
3.58,3.67,0.65,1.38
3.26,3.67,0.65,1.38
3.93,3.668,0.76,1.39
3.51,3.668,0.76,1.39
3.22,3.668,0.76,1.39
2.73,3.927,0.78,0.39
3.59,3.642,0.81,1.52
3.51,3.642,0.81,1.52
3.09,3.642,0.81,1.52
3.3,3.735,0.82,1.05
3.17,4.062,0.94,0.2
2.63,3.873,0.96,0.52
3.62,3.68,1.04,1.33
3.27,3.68,1.04,1.33
3.2,3.68,1.04,1.33
3.43,3.694,1.1,1.26
2.78,3.763,1.25,0.91
2.88,3.742,1.27,1.01
2.43,3.945,1.27,0.35
3.28,3.654,1.28,1.46
3.21,3.654,1.28,1.46
3.0,3.654,1.28,1.46
3.04,3.719,1.33,1.13
2.62,3.782,1.34,0.82
3.0,3.715,1.44,1.15
2.31,3.862,1.46,0.55
3.26,3.68,1.48,1.33
3.26,3.682,1.49,1.32
2.49,3.78,1.53,0.83
2.35,3.822,1.53,0.67
2.89,3.715,1.56,1.15
2.47,3.776,1.58,0.85
3.13,3.674,1.6,1.36
3.1,3.668,1.6,1.39
2.91,3.71,1.61,1.18
2.87,3.712,1.63,1.17
2.41,3.778,1.65,0.84
3.06,3.682,1.71,1.32
2.16,3.862,1.72,0.55
2.3,3.784,1.77,0.81
3.02,3.684,1.77,1.31
2.4,3.76,1.77,0.92
2.88,3.698,1.8,1.24
2.1,3.877,1.81,0.51
2.26,3.784,1.82,0.81
2.1,3.869,1.82,0.53
2.65,3.717,1.83,1.14
2.11,3.914,1.83,0.42
2.85,3.698,1.84,1.24
2.07,3.885,1.87,0.49
2.58,3.721,1.87,1.12
2.4,3.746,1.87,0.99
2.08,3.905,1.87,0.44
2.58,3.721,1.87,1.12
2.6,3.717,1.89,1.14
2.64,3.712,1.92,1.17
2.5,3.725,1.93,1.1
2.35,3.746,1.94,0.99
2.35,3.746,1.94,0.99
2.62,3.712,1.94,1.17
2.38,3.738,1.96,1.03
2.02,3.858,1.97,0.56
2.1,3.798,2.0,0.75
2.53,3.715,2.01,1.15
2.37,3.735,2.01,1.05
2.5,3.717,2.02,1.14
2.45,3.721,2.05,1.12
2.76,3.68,2.05,1.33
2.37,3.729,2.06,1.08
2.47,3.717,2.07,1.14
2.47,3.717,2.07,1.14
2.24,3.747,2.09,0.98
2.64,3.698,2.09,1.24
2.41,3.721,2.1,1.12
1.98,3.831,2.11,0.64
2.05,3.791,2.12,0.78
1.95,3.873,2.12,0.52
1.97,3.909,2.15,0.43
2.34,3.723,2.17,1.11
1.94,3.896,2.18,0.46
2.38,3.717,2.19,1.14
1.93,3.837,2.19,0.62
2.3,3.727,2.19,1.09
2.31,3.725,2.19,1.1
1.91,3.877,2.2,0.51
2.63,3.68,2.22,1.33
1.9,3.85,2.22,0.58
1.9,3.858,2.22,0.56
2.53,3.698,2.24,1.24
2.43,3.708,2.25,1.19
2.6,3.69,2.27,1.28
2.36,3.713,2.27,1.16
2.03,3.766,2.28,0.89
1.93,3.803,2.28,0.73
1.89,3.888,2.28,0.48
2.44,3.704,2.28,1.21
2.1,3.747,2.32,0.98
2.05,3.914,2.32,0.42
1.95,3.914,2.32,0.42
1.93,3.914,2.32,0.42
2.2,3.729,2.32,1.08
1.88,3.819,2.33,0.68
1.86,3.877,2.34,0.51
1.87,3.888,2.34,0.48
2.06,3.927,2.34,0.39
1.86,3.881,2.35,0.5
1.91,3.793,2.35,0.77
1.85,3.834,2.35,0.63
2.53,3.682,2.35,1.32
1.85,3.841,2.35,0.61
2.39,3.704,2.35,1.21
2.36,3.706,2.36,1.2
1.84,3.873,2.37,0.52
2.18,3.727,2.37,1.09
1.83,3.862,2.38,0.55
2.24,3.717,2.39,1.14
1.84,3.825,2.4,0.66
2.11,3.734,2.41,1.05
1.82,3.828,2.43,0.65
1.82,3.881,2.44,0.5
2.14,3.727,2.44,1.09
1.98,3.905,2.45,0.44
1.88,3.905,2.45,0.44
1.86,3.905,2.45,0.44
1.85,3.8,2.45,0.74
1.98,3.905,2.45,0.44
1.88,3.905,2.45,0.44
1.86,3.905,2.45,0.44
2.28,3.708,2.46,1.19
1.95,3.76,2.47,0.92
2.45,3.688,2.48,1.29
2.17,3.719,2.48,1.13
1.78,3.841,2.49,0.61
1.8,3.822,2.49,0.67
1.95,3.888,2.49,0.48
1.95,3.888,2.49,0.48
1.82,3.888,2.49,0.48
2.19,3.715,2.49,1.15
1.77,3.862,2.52,0.55
1.95,3.909,2.53,0.43
2.34,3.696,2.53,1.25
1.77,3.869,2.54,0.53
1.89,3.764,2.54,0.9
1.95,3.914,2.55,0.42
1.75,3.854,2.56,0.57
1.77,3.873,2.56,0.52
1.92,3.892,2.56,0.47
1.86,3.892,2.56,0.47
1.8,3.892,2.56,0.47
1.92,3.885,2.56,0.49
1.91,3.885,2.56,0.49
1.79,3.885,2.56,0.49
1.77,3.877,2.57,0.51
1.92,3.896,2.57,0.46
1.83,3.896,2.57,0.46
1.81,3.896,2.57,0.46
1.77,3.877,2.57,0.51
2.19,3.71,2.57,1.18
1.82,3.777,2.59,0.84
1.91,3.751,2.59,0.96
1.89,3.755,2.6,0.94
1.74,3.822,2.62,0.67
1.79,3.784,2.62,0.81
1.75,3.806,2.63,0.72
1.73,3.831,2.63,0.64
1.79,3.784,2.63,0.81
1.75,3.8,2.64,0.74
1.94,3.932,2.66,0.38
1.88,3.888,2.67,0.48
1.79,3.888,2.67,0.48
1.76,3.888,2.67,0.48
1.7,3.837,2.68,0.62
1.72,3.869,2.71,0.53
1.7,3.858,2.72,0.56
1.86,3.888,2.72,0.48
1.75,3.888,2.72,0.48
1.75,3.888,2.72,0.48
1.85,3.881,2.72,0.5
1.8,3.881,2.72,0.5
1.73,3.881,2.72,0.5
2.11,3.708,2.72,1.19
1.9,3.923,2.73,0.4
1.86,3.9,2.74,0.45
1.89,3.923,2.74,0.4
1.91,3.932,2.74,0.38
1.84,3.747,2.76,0.98
1.69,3.865,2.77,0.54
1.7,3.869,2.77,0.53
1.71,3.784,2.78,0.81
1.72,3.777,2.79,0.84
1.67,3.809,2.8,0.71
1.71,3.782,2.8,0.82
1.98,3.963,2.81,0.32
1.65,3.828,2.82,0.65
1.82,3.9,2.83,0.45
1.81,3.877,2.83,0.51
1.73,3.877,2.83,0.51
1.7,3.877,2.83,0.51
1.72,3.764,2.85,0.9
1.65,3.809,2.86,0.71
1.81,3.9,2.86,0.45
1.93,3.95,2.86,0.34
1.63,3.822,2.87,0.67
1.98,3.969,2.87,0.31
1.64,3.85,2.87,0.58
1.82,3.738,2.88,1.02
1.85,3.927,2.9,0.39
1.79,3.885,2.9,0.49
1.64,3.795,2.91,0.76
1.65,3.786,2.91,0.8
1.67,3.77,2.92,0.87
1.83,3.731,2.93,1.06
1.62,3.854,2.94,0.57
1.76,3.885,2.96,0.49
1.6,3.831,2.97,0.64
1.59,3.822,2.97,0.67
1.75,3.885,3.0,0.49
1.58,3.834,3.01,0.63
1.6,3.789,3.02,0.79
1.57,3.831,3.04,0.64
1.73,3.881,3.04,0.5
1.58,3.8,3.05,0.74
1.72,3.885,3.09,0.49
1.56,3.837,3.11,0.62
1.55,3.828,3.11,0.65
1.58,3.768,3.13,0.88
1.74,3.909,3.13,0.43
1.72,3.896,3.13,0.46
1.57,3.77,3.14,0.87
1.73,3.905,3.15,0.44
1.73,3.905,3.15,0.44
1.55,3.841,3.16,0.61
1.68,3.858,3.16,0.56
1.59,3.858,3.16,0.56
1.57,3.858,3.16,0.56
1.68,3.858,3.16,0.56
1.59,3.858,3.16,0.56
1.57,3.858,3.16,0.56
1.75,3.914,3.16,0.42
1.68,3.873,3.18,0.52
1.57,3.755,3.19,0.94
1.52,3.791,3.2,0.78
1.51,3.816,3.21,0.69
1.51,3.798,3.22,0.75
1.69,3.9,3.23,0.45
1.53,3.77,3.24,0.87
1.51,3.834,3.25,0.63
1.5,3.825,3.26,0.66
1.5,3.825,3.26,0.66
1.64,3.865,3.26,0.54
1.64,3.869,3.27,0.53
1.5,3.825,3.27,0.66
1.64,3.862,3.27,0.55
1.65,3.881,3.28,0.5
1.68,3.9,3.28,0.45
1.65,3.877,3.28,0.51
1.5,3.831,3.29,0.64
1.64,3.873,3.3,0.52
1.64,3.873,3.3,0.52
1.62,3.854,3.3,0.57
1.49,3.78,3.32,0.83
1.48,3.825,3.32,0.66
1.47,3.813,3.33,0.7
1.7,3.914,3.34,0.42
1.61,3.862,3.34,0.55
1.61,3.837,3.34,0.62
1.58,3.837,3.34,0.62
1.49,3.837,3.34,0.62
1.65,3.892,3.35,0.47
1.48,3.78,3.35,0.83
1.8,3.956,3.37,0.33
1.6,3.854,3.37,0.57
1.6,3.844,3.37,0.6
1.52,3.844,3.37,0.6
1.5,3.844,3.37,0.6
1.45,3.806,3.37,0.72
1.6,3.862,3.38,0.55
1.61,3.877,3.39,0.51
1.44,3.798,3.4,0.75
1.54,3.739,3.4,1.01
1.45,3.786,3.41,0.8
1.46,3.761,3.42,0.91
1.61,3.881,3.43,0.5
1.64,3.896,3.43,0.46
1.57,3.834,3.44,0.63
1.52,3.834,3.44,0.63
1.46,3.834,3.44,0.63
1.59,3.877,3.47,0.51
1.42,3.78,3.48,0.83
1.62,3.896,3.48,0.46
1.58,3.873,3.5,0.52
1.4,3.791,3.52,0.78
1.58,3.877,3.52,0.51
1.58,3.881,3.53,0.5
1.41,3.773,3.54,0.86
1.54,3.858,3.55,0.56
1.54,3.85,3.56,0.58
1.54,3.854,3.56,0.57
1.64,3.914,3.57,0.42
1.54,3.865,3.58,0.54
1.53,3.854,3.58,0.57
