B-V,log.Teff [K],Absolute Mag,Mass[solMass],Vmag,Plx,Age [yr],Distance,logL,Predicted_SpT
0.52,3.786,4.52,1.07,11.92,0.003311311,289000000.0,301.995172,0.1,F
0.26,4.325,1.05,6.47,12.55,0.000501187,-1.0,1995.262315,2.89,B
0.42,4.075,1.06,3.63,12.56,0.000501187,100000000.0,1995.262315,2.3,B
0.49,4.0,1.43,2.87,12.93,0.000501187,237000000.0,1995.262315,2.03,B
0.33,4.212,1.87,4.22,13.37,0.000501187,-1.0,1995.262315,2.29,B
0.47,4.02,2.04,2.76,13.54,0.000501187,151000000.0,1995.262315,1.82,B
0.31,4.237,2.21,4.26,13.71,0.000501187,-1.0,1995.262315,2.22,B
0.36,4.167,2.47,3.43,13.97,0.000501187,-1.0,1995.262315,1.94,B
0.49,4.0,2.77,2.35,14.27,0.000501187,86100000.0,1995.262315,1.5,A
0.52,3.981,2.8,2.28,14.3,0.000501187,162000000.0,1995.262315,1.46,A
0.64,3.918,2.81,2.14,14.31,0.000501187,432000000.0,1995.262315,1.39,A
0.64,3.918,2.81,2.11,14.31,0.000501187,476000000.0,1995.262315,1.39,A
0.64,3.918,2.81,2.01,14.31,0.000501187,608000000.0,1995.262315,1.39,A
0.49,4.0,3.05,2.26,14.55,0.000501187,-1.0,1995.262315,1.38,A
0.76,3.869,3.12,1.81,14.62,0.000501187,883000000.0,1995.262315,1.25,F
0.65,3.914,3.16,1.98,14.66,0.000501187,433000000.0,1995.262315,1.25,A
0.75,3.873,3.18,1.8,14.68,0.000501187,888000000.0,1995.262315,1.23,A
0.7,3.892,3.7,1.75,15.2,0.000501187,467000000.0,1995.262315,1.02,A
0.6,3.936,4.1,1.74,15.6,0.000501187,-1.0,1995.262315,0.89,A
0.25,3.945,-2.52,6.4,7.68,0.000912011,35700000.0,1096.478196,3.23,A
0.16,4.01,-1.04,4.24,9.16,0.000912011,90900000.0,1096.478196,2.65,B
0.0,4.225,-0.6,5.48,9.6,0.000912011,21300000.0,1096.478196,2.93,B
0.18,3.994,-0.56,3.7,9.64,0.000912011,128000000.0,1096.478196,2.44,B
0.14,4.03,-0.49,3.71,9.71,0.000912011,126000000.0,1096.478196,2.46,B
0.1,4.075,-0.3,3.72,9.9,0.000912011,121000000.0,1096.478196,2.46,B
0.04,4.167,0.17,4.23,10.37,0.000912011,22100000.0,1096.478196,2.48,B
-0.06,4.325,0.18,6.38,10.38,0.000912011,-1.0,1096.478196,2.86,B
-0.05,4.3,0.33,5.8,10.53,0.000912011,-1.0,1096.478196,2.74,B
0.1,4.075,0.75,3.19,10.95,0.000912011,77700000.0,1096.478196,2.04,B
0.3,3.927,0.94,2.45,11.14,0.000912011,388000000.0,1096.478196,1.76,A
0.18,3.994,1.6,2.42,11.8,0.000912011,164000000.0,1096.478196,1.57,B
0.2,3.981,1.87,2.27,12.07,0.000912011,154000000.0,1096.478196,1.45,A
0.13,4.04,1.87,2.5,12.07,0.000912011,-1.0,1096.478196,1.53,B
0.2,3.981,2.0,2.22,12.2,0.000912011,109000000.0,1096.478196,1.4,A
0.28,3.936,2.06,2.08,12.26,0.000912011,330000000.0,1096.478196,1.32,A
0.28,3.936,2.08,2.07,12.28,0.000912011,326000000.0,1096.478196,1.31,A
0.2,3.981,2.2,2.15,12.4,0.000912011,12700000.0,1096.478196,1.32,A
0.16,4.01,2.27,2.23,12.47,0.000912011,-1.0,1096.478196,1.33,B
0.23,3.963,2.29,2.06,12.49,0.000912011,83000000.0,1096.478196,1.26,A
0.3,3.927,2.46,1.91,12.66,0.000912011,273000000.0,1096.478196,1.16,A
0.22,3.969,2.46,2.03,12.66,0.000912011,-1.0,1096.478196,1.2,A
0.28,3.936,2.46,1.93,12.66,0.000912011,200000000.0,1096.478196,1.16,A
0.42,3.877,2.47,1.84,12.67,0.000912011,646000000.0,1096.478196,1.13,A
0.42,3.877,2.47,1.8,12.67,0.000912011,741000000.0,1096.478196,1.13,A
0.42,3.877,2.47,1.72,12.67,0.000912011,925000000.0,1096.478196,1.13,A
0.29,3.932,2.51,1.9,12.71,0.000912011,213000000.0,1096.478196,1.14,A
0.28,3.936,2.52,1.91,12.72,0.000912011,159000000.0,1096.478196,1.14,A
0.58,3.822,2.57,1.64,12.77,0.000912011,1240000000.0,1096.478196,1.09,F
0.7,3.789,2.57,1.68,12.77,0.000912011,1220000000.0,1096.478196,1.11,F
0.4,3.885,2.65,1.78,12.85,0.000912011,562000000.0,1096.478196,1.06,A
0.59,3.819,2.72,1.59,12.92,0.000912011,1370000000.0,1096.478196,1.03,F
0.57,3.825,2.82,1.55,13.02,0.000912011,1410000000.0,1096.478196,0.99,F
0.46,3.862,2.85,1.69,13.05,0.000912011,727000000.0,1096.478196,0.97,F
0.46,3.862,2.85,1.6,13.05,0.000912011,1060000000.0,1096.478196,0.97,F
0.46,3.862,2.85,1.59,13.05,0.000912011,1090000000.0,1096.478196,0.97,F
0.63,3.806,2.95,1.5,13.15,0.000912011,1600000000.0,1096.478196,0.95,F
0.7,3.789,3.04,1.48,13.24,0.000912011,1720000000.0,1096.478196,0.92,F
0.54,3.834,3.04,1.5,13.24,0.000912011,1430000000.0,1096.478196,0.9,F
0.5,3.847,3.04,1.62,13.24,0.000912011,843000000.0,1096.478196,0.9,F
0.5,3.847,3.04,1.54,13.24,0.000912011,1160000000.0,1096.478196,0.9,F
0.5,3.847,3.04,1.52,13.24,0.000912011,1260000000.0,1096.478196,0.9,F
0.63,3.806,3.17,1.43,13.37,0.000912011,1910000000.0,1096.478196,0.86,F
0.6,3.816,3.23,1.42,13.43,0.000912011,1850000000.0,1096.478196,0.83,F
0.61,3.813,3.24,1.41,13.44,0.000912011,1910000000.0,1096.478196,0.83,F
0.54,3.834,3.28,1.54,13.48,0.000912011,940000000.0,1096.478196,0.8,F
0.54,3.834,3.28,1.45,13.48,0.000912011,1430000000.0,1096.478196,0.8,F
0.54,3.834,3.28,1.43,13.48,0.000912011,1560000000.0,1096.478196,0.8,F
0.67,3.795,3.3,1.38,13.5,0.000912011,2180000000.0,1096.478196,0.81,F
0.63,3.806,3.36,1.37,13.56,0.000912011,2150000000.0,1096.478196,0.78,F
0.85,3.755,3.59,1.3,13.79,0.000912011,2880000000.0,1096.478196,0.72,G
0.63,3.806,3.65,1.39,13.85,0.000912011,1540000000.0,1096.478196,0.67,F
0.63,3.806,3.65,1.36,13.85,0.000912011,1830000000.0,1096.478196,0.67,F
