# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
V1094_Tau,G0_V,G3_V,8.989,8.97,0.7,0.04,0.0016,0.0052,0.0012,0.1495,0.0018,0.0439,0.0026,4.179,0.004,4.355,0.005,3.767,0.007,3.756,0.008,0.32,0.03,0.05,0.03
EPIC_219568666,F8_V,none,11.991,11.86,0.7,0.0496,0.005,-0.1349,0.003,0.0711,0.0026,-0.1938,0.0115,4.346,0.005,4.69,0.022,3.788,0.007,3.653,0.01,0.248,0.028,-0.818,0.046
KIC_5359678,F5,none,6.231,14.21,0.7,0.0976,0.0062,0.0273,0.0053,0.1611,0.0036,0.0204,0.007,4.214,0.007,4.424,0.013,3.813,0.003,3.777,0.005,0.555,0.014,0.103,0.025
NP_Per,F5_V,K5_e,2.229,11.24,0.7,0.1208,0.0029,0.0194,0.0019,0.1374,0.0041,0.0896,0.0046,4.284,0.008,4.2779,0.0089,3.808,0.006,3.657,0.015,0.46,0.025,-0.237,0.058
IM_Per,A8_V,A8_V,2.254,11.28,0.7,0.2512,0.0023,0.249,0.0024,0.3818,0.0032,0.374,0.0031,3.9258,0.0067,3.9394,0.0068,3.88,0.009,3.879,0.009,1.235,0.035,1.217,0.036
CoRoT_105906206,none,none,3.695,11.78,0.7,0.3522,0.0077,0.1106,0.0101,0.6274,0.002,0.1271,0.0032,3.53,0.01,4.3,0.02,3.829,0.01,3.789,0.011,1.53,0.04,0.36,0.05
HP_Aur,G2_V,K1_V,1.423,11.17,0.68,-0.0203,0.0019,-0.0918,0.0019,0.0119,0.0018,-0.1103,0.0019,4.3942,0.004,4.5669,0.0043,3.764,0.009,3.713,0.01,0.036,0.035,-0.414,0.039
TIC_193993801,F8_V,none,1.431,11.27,0.67,0.1159,0.005,0.0752,0.0066,0.2284,0.0036,0.1153,0.0057,4.098,0.006,4.245,0.011,3.801,0.003,3.785,0.003,0.614,0.013,0.323,0.018
OGLE-SMC-ECL-3678,F2_II,G6_II,187.843,15.56,0.67,0.5832,0.0023,0.5717,0.0012,1.4942,0.007,1.6294,0.0041,2.03,0.01,1.75,0.01,3.823,0.008,3.697,0.006,3.234,0.037,3.003,0.026
Kepler-35,none,none,20.734,15.96,0.66,-0.0517,0.0025,-0.0918,0.0024,0.0122,0.0008,-0.1045,0.0012,4.3623,0.002,4.5556,0.0016,3.749,0.011,3.716,0.008,-0.027,0.043,-0.387,0.02
IM_Vir,G7_V,K7_V,1.309,9.57,0.66,-0.0083,0.0053,-0.1776,0.0031,0.0257,0.0065,-0.1669,0.0083,4.379,0.014,4.594,0.017,3.754,0.008,3.628,0.013,-0.012,0.034,-0.867,0.056
Kepler_1647,none,none,11.259,13.7,0.66,0.0866,0.004,-0.0142,0.0018,0.2529,0.0013,-0.0149,0.0026,4.018,0.002,4.4534,0.004,3.793,0.007,3.761,0.009,-9.99,-9.99,-9.99,-9.99
EPIC_219394517,G,G,6.527,11.34,0.64,0.0327,0.0008,0.0278,0.001,0.0233,0.0045,0.0179,0.005,4.4247,0.0094,4.4303,0.0097,3.773,0.007,3.769,0.007,0.091,0.031,0.066,0.031
V963_Cen,G1_IV-V,G1_IV-V,15.269,8.6,0.64,0.0339,0.0012,0.0315,0.0012,0.16,0.0016,0.1527,0.0021,4.152,0.003,4.164,0.004,3.764,0.004,3.765,0.005,0.332,0.018,0.32,0.021
ASAS_J171750-1915.3,none,none,3.137,10.99,0.64,0.1326,0.0008,0.1288,0.001,0.2243,0.0018,0.217,0.0016,4.122,0.003,4.133,0.003,3.815,0.009,3.813,0.009,-9.99,-9.99,-9.99,-9.99
OGLE-LMC-CEP-01812,F7_II,G4_III,551.776,16.69,0.64,0.5752,0.0035,0.4183,0.0033,1.2516,0.0032,1.073,0.0029,2.509,0.007,2.709,0.007,3.787,0.011,3.713,0.01,2.61,0.04,1.95,0.04
ASAS_J045304-0700.4,K2_V,K4_V,1.622,11.24,0.63,-0.0789,0.0019,-0.082,0.0021,-0.0716,0.0026,-0.0794,0.0026,4.503,0.005,4.515,0.005,3.726,0.016,3.708,0.017,-0.278,0.065,-0.365,0.068
Kepler-34,none,none,27.796,15.04,0.63,0.0203,0.0013,0.0089,0.0009,0.0651,0.0011,0.0385,0.0012,4.3284,0.0021,4.3703,0.0022,3.772,0.009,3.768,0.01,0.173,0.033,0.107,0.036
QR_Hya,G1_V,G2_V,5.006,8.4,0.63,0.0415,0.0007,0.0283,0.0008,0.1087,0.0014,0.0802,0.002,4.262,0.003,4.306,0.004,3.773,0.005,3.767,0.005,0.262,0.021,0.182,0.023
